max_rouge,articles,references,max_rouge_rouge-1,max_rouge_rouge-2,max_rouge_rouge-l
"They found that after 40 weeks of intervention, significant increases in brain volume were observed in the Tai Chi Chuan and social intervention groups compared to the no intervention group. In addition to Tai Chi Chuan, Baduanjin is another popular mind body exercise . We also investigate how Tai Chi Chuan and Baduanjin can regulate the WMS CR subscores, as well as the association between the GMV changes and WMS CR score changes .We decided to choose two cohorts of participant to avoid the potential cross practice of Tai Chi Chuan and Baduanjin, so that participants were aware of only one exercise option. They were also provided free Tai Chi Chuan or Baduanjin training after participation in the study . We first compared the pre treatment regional grey matter volume (GMV) differences between the Tai Chi Chuan, Baduanjin and control groups using a one way ANOVA.The results showed that compared with the control group, both Tai Chi Chuan and Baduanjingroups showed significantly increased GMV at the medial temporal lobe (MTL), putamen, and insula. Significant GMV increases in the putamen were observed in both Tai Chi Chuan and Baduanjin groups as compared with the control group. Our study showed that 12 weeks of Tai Chi Chuan and Baduanjin exercise can significantly improve memory function and increase GMV in the MTL.",PMC5659386.json,"the aim of this study is to investigate and compare how 12 weeks of tai chi chuan and baduanjin exercise can modulate brain structure and memory function in older adults. magnetic resonance imaging(mri) and memory function measurements (wechsler memory scale chinese revised, wms cr)were applied at both the beginning and end of the study. results showed that both tai chi chuan and baduanjin could significantly increase grey matter volume (gmv) in the insula, medial temporal lobe (mtl), and putamen after 12 weeks of exercise. no significant differences were observed in grey matter volume (gmv) between the tai chi chuan and baduanjin groups. we also found that compared to healthy controls, tai chi chuan and baduanjin significantly improved visual reproduction subscores on the wms cr. baduanjin also improved mental control, recognition, touch and comprehension memory subscores of the wms cr compared to the control group. memory quotient (mq)and visual reproduction subscores were both associated with gmv increases in the putamen and hippocampus. our results demonstrate the potential of tai chi chuan and baduanjin exercise for the prevention of memory deficits in older adults.",0.6253101736972705,0.3092269326683291,0.37465634625110034
"The development of sepsis creates a substantial health care burden and limited epidemiologic information exists with regard to postoperative sepsis. Martin et al. demonstrated that the incidence of sepsis and the number of sepsis related deaths are increasing, although the overall mortality rate among patients with sepsis is declining. Secondary aims included description of sociodemographic factors and hospital characteristics associated with the development of postoperative sepsis.The Nationwide Inpatient Sample (NIS) was queried for the years 2002 2006. Being the largest all payer hospital database in the United States it contains information about all hospitalizations from more than 1,000 acute care hospitals representing a 20% weighted probability sample of all US hospitals. Sampling strata created by AHRQ are based on hospital characteristics including geographic region, ownership, location, teaching status, and number of beds and sampling weights are provided to account for the survey design and to provide national estimates.An estimate of 6,512,921 elective surgical cases met the eligibility criteria. The indicator, post operative sepsis (PSI 13), was utilized to identify sepsis as a complication. As a result, we included in the study cohort surgical patients age 18 years and older who were electively admitted to the hospital, did not have diagnosis of sepsis, any infection or any reported immunocompromised status at admission, and stayed in the hospital no less than 4 days .",PMC2951484.json,"objectives to evaluate the incidence of postoperative sepsis after elective procedures, to define surgical procedures with the greatest risk for developing sepsis, and to evaluate patient and hospital confounders background data the development of sepsis after elective surgical procedures imposes a significant clinical and resource utilization burden in the united states. we evaluated the development of sepsis after elective procedures in a nationally representative patient cohort and assessed the impact of sociodemographic and hospital characteristics on the development of postoperative sepsis. methods the nationwide inpatient sample was queried between 2002 2006 and patients developing sepsis after elective procedures were identified utilizing the patient safety indicator postoperative sepsis (psi 13). case mixadjusted rates were calculated by using a multivariate logistic regression model for sepsis risk and an indirect standardization method. results 6,512,921 weighted elective surgical cases met the inclusion criteria and 78,669 cases (1.21%) developed postoperative sepsis. case mix adjustment for age, race, gender, hospital bed size, hospital location, hospital teaching status, and patient income demonstrated esophageal, pancreatic, and gastric procedures represented the greatest risk for the development of postoperative sepsis. thoracic, adrenal, and hepatic operations accounted for the greatest mortality rates if sepsis developed. increasing age, blacks, hispanics, and men were more likely to develop sepsis. decreased median household income, larger hospital bed size, urban hospital location, and non teaching status were associated with greater rates of postoperative sepsis. conclusions the development of postoperative sepsis is multifactorial and procedures most likely to develop sepsis did not demonstrate the greatest mortality after sepsis developed. factors associated with the development of sepsis included race, age, hospital size, hospital location, and patient income. further evaluation of high risk procedures, populations, and environments may assist in reducing this costly complication.",0.5077519379844961,0.16731517509727628,0.29687617487728346
"Withdrawal from nicotine precipitates neurocognitive deficits such as impaired working memory . Indeed, subjective cognitive deficits during abstinence as well as objective deficits in working memory, attention and executive function predict relapse among smokers trying to quit . We hypothesized that abstinence would be associated with decreased BOLD signal in the medial frontal/cingulate gyrus (MF/CG) and the dorsolateral prefrontal cortex (DLPFC).nicotine withdrawal is associated with subtle working memory deficits that predict subsequent relapse. significant age x session effects were found for bold signal change in all three regions, as well as for withdrawal and craving; for all measures, abstinence effects were attenuated in smokers aged >50 years compared to those < 50 years old. these results suggest that abstinence effects on neurocognitive function may be more pronounced for younger smokers, and may indicate a new avenue for research exploring mechanisms underlying age differences in smoking cessation success.The effects of abstinence on BOLD signal in these regions, as well as withdrawal and craving, were reduced in adults aged 50 years and older compared to younger smokers . Although additional research is necessary to replicate our findings, our results may suggest an underlying neurocognitive mechanism for reduced nicotine dependence and greater smoking cessation success among older adults . Future research into other age related differences in the effects of smoking abstinence may aid in targeting the most appropriate smoking cessation treatments for older adults .",PMC3701751.json,"nicotine withdrawal is associated with subtle working memory deficits that predict subsequent relapse. we examined the neural substrates underlying these processes in treatment seeking smokers, and explored the moderating influence of age on abstinence induced alterations in brain activity and performance. sixty three smokers participated in two blood oxygen level dependent (bold) functional magnetic resonance imaging (fmri) scans while performing a visual n back task on two separate occasions: smoking as usual and after hours of biochemically confirmed abstinence (order counterbalanced). abstinence (versus smoking) led to reduced accuracy, slower median correct response time, and reduced bold signal change in the a priori regions of interest (rois): medial frontal/cingulate gyrus and right and left dorsolateral prefrontal cortex. significant age x session effects were found for bold signal change in all three regions, as well as for withdrawal and craving; for all measures, abstinence effects were attenuated in smokers aged >50 years compared to those < years old. these results suggest that abstinence effects on neurocognitive function may be more pronounced for younger smokers, and may indicate a new avenue for research exploring mechanisms underlying age differences in smoking cessation success.",0.6142857142857143,0.42583732057416274,0.5076005081999915
"Would systematic degradation help us understand more about the robustness of vibrotactile signals? To address these questions, we had subjects discriminate between sequences of pulses delivered at two different mean rates, 3 Hz and 6 Hz. We wanted to benchmark the robustness of information carried by vibrotactile signals against the robustness of visual information, in particular.To determine whether subjects used optimal criteria as defined by , we tested the proposition that the error rate for 3 Hz stimuli [Pr(fast | slow stimulus)] and the error rate for 6 Hz stimuli [Pr(slow | fast stimulus)] would be sufficiently similar within each noise level as to be reasonably considered equivalent . These results suggest that subjects showed no statistically significant response bias in any of the noise levels, and that they used a decision criterion indistinguishable from one that was statistically optimal . All subjects had best corrected Snellen acuity 20/40 or better.Stimuli with two different mean pulse rates, 3 Hz and 6 Hz, were randomly intermixed; pilot testing showed that these two rates would be reliably, though imperfectly, discriminated. Subjects categorized the rate of each stimulus as either slow (3 Hz) or fast (6 Hz). This shift toward the mean IPI of a 3 Hz stimulus would promote confusion and lead subjects to mistake the nominally 6 Hz stimulus for one of 3 Hz.",PMC6990458.json,"beats are among the basic units of perceptual experience. produced by regular, intermittent stimulation, beats are most commonly associated with audition, but the experience of a beat can result from stimulation in other modalities as well. we studied the robustness of visual, vibrotactile, and bimodal signals as sources of beat perception. subjects attempted to discriminate between pulse trains delivered at hz or at hz. to investigate signal robustness, we intentionally degraded signals on two thirds of the trials using temporal domain noise. on these trials, inter pulse intervals (ipis) were stochastic, perturbed independently from the nominal ipi by random samples from zero mean gaussian distributions with different variances. these perturbations produced directional changes in the ipis, which either increased or decreased the likelihood of confusing the two pulse rates. in addition to affording an assay of signal robustness, this paradigm made it possible to gauge how subjects judgments were influenced by successive ipis. logistic regression revealed a strong primacy effect: subjects decisions were disproportionately influenced by a trials initial ipis. response times and parameter estimates from drift diffusion modeling showed that information accumulates more rapidly with bimodal stimulation than with either unimodal stimulus alone. analysis of error rates within each condition suggested consistently optimal decision making, even with increased ipi variability. finally, beat information delivered by vibrotactile signals proved just as robust as information conveyed by visual signals, confirming vibrotactile stimulations potential as a communication channel.",0.39215686274509803,0.06564551422319474,0.20865493431819962
"Mice lacking GPIHBP1 (Gpihbp1/) have severe chylomicronemia, even on a low fat chow diet, as a result of defective lipolysis. Thus far, no one has examined whether Gpihbp1/ mice have an increased susceptibility to atherosclerotic lesions. We also tackled a second issue; we addressed whether GPIHBP1 is required for the lipolytic processing of both apo B48containing lipoproteins and apo B100containing lipoproteins .Gpihbp1/ mice (>90% C57BL/6) were housed in a barrier facility and fed a 4.5% fat chow diet. We also bred apo B48only and apo B100only Gpihbp1/ mice (Gpihbp1/ Apob48/48, Gpihbp1/ Apob100/100). Plasma lipid levels were measured with enzymatic kits, and their distribution within lipoproteins was assessed by Fast Protein Liquid Chromatography (FPLC).thus, gpihbp1 is required for the processing of both apo b48 and apo b100containing lipoproteins. conclusions chylomicronemia causes atherosclerosis in mice. also, we found that gpihbp1 is required for the lipolytic processing of both apo b48 and apo b100containing lipoproteins.",PMC2796285.json,"objective the risk of atherosclerosis in the setting of chylomicronemia has been a topic of debate. in this study, we examined susceptibility to atherosclerosis in gpihbp1 deficient mice (gpihbp1/), which manifest severe chylomicronemia as a result of defective lipolysis. methods and results gpihbp1/ mice on a chow diet have plasma triglyceride and cholesterol levels of 209 and 27 mg/dl, respectively. even though nearly all of the lipids were contained in large lipoproteins (50135 nm), the mice developed progressive aortic atherosclerosis. in other experiments, we found that both gpihbp1 deficient apo b48only mice and gpihbp1 deficient apo b100only mice manifest severe chylomicronemia. thus, gpihbp1 is required for the processing of both apo b48 and apo b100containing lipoproteins. conclusions chylomicronemia causes atherosclerosis in mice. also, we found that gpihbp1 is required for the lipolytic processing of both apo b48 and apo b100containing lipoproteins.",0.588628762541806,0.35016835016835013,0.49961571133459953
"However, there is no consensus regarding the optimal method for measuring abdominal pain in IBS patients . We sought to comprehensively validate an abdominal pain NRS in IBS using a previously described longitudinal multi center IBS registry. 3) calculate a minimally clinical important difference (MCID) benchmark to help define responder status on the abdominal pain NRS .The FDA has proposed that IBS clinical trials require an NRS score of at least 3 out of 10 in order to justify inclusion into a trial measuring pain improvement. There were 277 total subjects at baseline and 123 with 3 month follow up data. Eighteen percent of the cohort had IBS C, 29% IBS D, and 53% IBS M using Rome III sub classification criteria.10.1111/j.1365 2036.2009.04144.x Figure 1Proportion of Patients Achieving a Minimal Clinically Important Difference (MCID) for Key Variables Stratified by Pain Numeric Rating Scale (NRS) Responder Status. The data indicate that the pain NRS was able to discriminate between clinically relevant responses for each of the concurrent indices tested . Work ProductivityWorker Productivity Activity Index for IBS (WPAI:IBS)YesYesA disease targeted measure of absenteeism and presenteeism.",PMC2793273.json,"background controversy exists about how to effectively measure patient reported outcomes in ibs clinical trials. pain numeric rating scales (nrs) are widely used in the non ibs pain literature. the fda has proposed using the nrs in ibs. aim to test the psychometrics of an abdominal pain nrs in ibs. methods we analyzed data from a longitudinal cohort of rome iii ibs subjects. at entry, subjects completed a 10 point nrs, bowel symptoms, ibs severity measurements (ibsss, fbdsi), health related quality of life indices (ibs qol, eq5d), and the worker productivity activity index (wpai). we repeated assessments at months along with a response scale to calculate the minimal clinically important difference (mcid). results there were subjects (82% women; age=4215) at baseline and at months. the nrs correlated cross sectionally with ibsss (r=0.60; p<0.0011), fbdsi (r=0.49; p<0.0001), ibs qol (r=0.43; p<0.0001), eq5d (r=0.48; p<0.0001), presenteeism (r=0.39; p<0.0001), absenteeism (r=0.17; p=0.04), and distension (r=0.46; p<0.0001), but not stool frequency or form. the mcid was 2.2 points, correlating with a 29.5% reduction over time. conclusions an abdominal pain nrs exhibits excellent validity and can be readily interpreted with an mcid in patients with ibs. these data support the use of the nrs in ibs clinical trials.",0.46117647058823524,0.13711583924349882,0.2384130712156504
"Ubiquitous in biological systems and protein pharmaceuticals, isoaspartic acid (isoAsp, isoD or  Asp) in peptides and proteins arises from either deamidation of asparagine (Asn) or isomerization of aspartic acid (Asp) via a common succinimide intermediate, as depicted in .  The effects of isoAsp formation have also been examined in numerous cases, including aggregation and loss of activity. Indeed, as we report herein, low abundant (as low as 0.5 %) isoAsp in beta amyloid (A) and cytochrome c peptides are detected and quantified, even when isoAsp and Asp peptides are co eluted.a ubiquitous yet underappreciated protein post translational modification, isoaspartic acid (isoasp, isod or asp), generated via the deamidation of asparagine or isomerization of aspartic acid in proteins, plays a diverse and crucial role in ageing, as well as autoimmune, cancer, neurodegeneration and other diseases. in addition, formation of isoasp is a major concern in protein pharmaceuticals, as it may lead to aggregation or activity loss. the scope and significance of isoasp have, up to now, not been fully explored, as an unbiased screening of isoasp at low abundance remains challenging. However, both beta amyloid and cytochrome c isoAsp peptides eluted after their Asp counterparts under the LC MS conditions, see for beta amyloid peptides and for cytochrome c peptides. As discussed earlier, due to the subtle difference between the physiochemical properties of isoAsp and Asp peptide, these peptides often co elute; one example is shown in Figure 4 in a recent paper. , Noticeable levels of isoAsp have been detected at several positions, e.g., Asp 1 and Asp 7, in beta amyloid from the senile plaques in the brains of Alzheimers patients.",PMC2936825.json,"a ubiquitous yet underappreciated protein post translational modification, isoaspartic acid (isoasp, isod or asp), generated via the deamidation of asparagine or isomerization of aspartic acid in proteins, plays a diverse and crucial role in ageing, as well as autoimmune, cancer, neurodegeneration and other diseases. in addition, formation of isoasp is a major concern in protein pharmaceuticals, as it may lead to aggregation or activity loss. the scope and significance of isoasp have, up to now, not been fully explored, as an unbiased screening of isoasp at low abundance remains challenging. this difficulty is due to the subtle difference in the physicochemical properties between isoasp and asp, e.g., identical mass. in contrast, endoprotease asp n (ec 3.4.24.33) selectively cleaves aspartyl peptides but not the isoaspartyl counterparts. as a consequence, isoaspartyl peptides can be differentiated from those containing asp and also enriched by asp n digestion. subsequently, the existence and site of isoaspartate can be confirmed by electron transfer dissociation (etd) mass spectrometry. as little as 0.5 % of isoasp was detected in synthetic beta amyloid and cytochrome c peptides, even though both were initially assumed to be free of isoasp. taken together, our approach should expedite the unbiased discovery of isoasp.",0.6134453781512605,0.45147679324894513,0.534342225706634
"The first desulfurization, corresponding to cysteine to dehydroalanine conversion, was associated with the known heat and alkaline induced  elimination of disulfide bridges. In this paper, we have examined the above two desulfurization reactions of cysteine in the context of sample handling for MS protein characterization in order to provide insight into proper sample preparation protocols. In addition, we examined a thiyl radical based mechanism for the conversion of cysteine to alanine .In contrast to DTT, heating the peptide with TCEP led to the formation of a new modification corresponding to the loss of 32 Da , suggesting conversion of cysteine to alanine. Based on this result, the mechanism of conversion of cysteine to alanine is clearly different from that of elimination . Presumably, this ion corresponds to the loss of 34 Da from one of atriopeptin peptides, i.e., conversion of cysteine to dehydroalanine that was generated during the tryptic digestion by heat induced  elimination.The goal of this paper was to examine cysteine modifications induced during the sample preparation for protein characterization, specifically the conversion of cysteine to dehydroalanine for example during disulfide mapping; and cysteine to alanine when heating with TCEP. Specifically, we examined two modifications, i.e. conversion of cysteine to dehydroalanine and cysteine to alanine, caused by sample preparation. On the other hand, it was found that though TCEP is an effective reducing reagent at room temperature, an artifact corresponding to the conversion of cysteine to alanine can occur after heating cysteine containing peptides in the presence of TCEP.",PMC2908508.json,"in this paper, we have examined two cysteine modifications resulting from sample preparation for protein characterization by ms: (1) a previously observed conversion of cysteine to dehydroalanine, now found in the case of disulfide mapping and (2) a novel modification corresponding to conversion of cysteine to alanine. using model peptides, the conversion of cysteine to dehydroalanine via elimination of a disulfide bond was seen to result from the conditions of typical tryptic digestion (37 c, ph 7.0 9.0) without disulfide reduction and alkylation.. furthermore, the surprising conversion of cysteine to alanine was shown to occur by heating cysteine containing peptides in the presence of a phosphine (tcep). the formation of alanine from cysteine, investigated by performing experiments in h2o or d2o, suggested a radical based desulfurization mechanism unrelated to elimination. importantly, an understanding of the mechanism and conditions favorable for cysteine desulfurization provides insight for the establishment of improved sample preparation procedures of protein analysis.",0.5245098039215687,0.25615763546798026,0.36201213895563344
"The transmissible spongiform encephalopathies (TSEs) are a group of rare neurodegenerative diseases that include scrapie in sheep, chronic wasting disease (CWD) in deer and elk, and bovine spongiform encephalopathy (BSE) in cattle. The TSEs fall within the spectrum of diseases of protein misfolding because the primary pathogenic event associated with disease onset is the conformational transformation of the host prion protein (PrP). TSEs, also known as prion diseases after the prion protein, are unique among protein misfolding diseases in that they are transmissible.None transmissible spongiform encephalopathies (tses or prion diseases) are a rare group of invariably fatal neurodegenerative disorders that affect humans and other mammals. a wealth of biological and biophysical evidence now suggests that the molecular basis for prion diseases may be encoded by protein conformation. the purpose of this review is to provide an overview of the existing structural information for prion protein within the context of what is known about the biology of prion disease.High resolution structures of PrP sen are well established and have provided useful information regarding the influence of various regions in the PrP sen to PrP res conversion process. Analysis of the secondary structure of PrP res has revealed a high percentage of acquired  sheet structure and it has been shown that the conformation of this  sheet can vary between PrP res samples from different TSE strains. PrP res is sometimes but not always found in the form of amyloid fibrils, further illustrating the complex nature of potential PrP conformations.",PMC2674794.json,transmissible spongiform encephalopathies (tses or prion diseases) are a rare group of invariably fatal neurodegenerative disorders that affect humans and other mammals. tses are protein misfolding diseases that involve the accumulation of an abnormally aggregated form of the normal host prion protein. they are unique among protein misfolding disorders in that they are transmissible and have different strains of infectious agent that are associated with unique phenotypes in vivo. a wealth of biological and biophysical evidence now suggests that the molecular basis for prion diseases may be encoded by protein conformation. the purpose of this review is to provide an overview of the existing structural information for prion protein within the context of what is known about the biology of prion disease.,0.5876010781671158,0.4932249322493224,0.5314187207163481
"Reasons for this difference in long term mortality observed in patients following STEMI compared to NSTEMI may include fundamental differences in platelet biology for each condition. Whether circulating platelets in diseased conditions are phenotypically and functionally similar to platelets in healthy subjects is an under explored area of investigation [, ]. These studies suggest greater attention should be paid to changes in platelet post receptor signal transduction pathways in diseased conditions .Blood was taken from patients immediately upon presentation with STEMI or NSTEMI and compared to healthy volunteer subjects. Plasma was isolated and biomarker concentration was evaluated by ELISA. (C) Plasma MMP9/TIMP1 ratio * p<0.05 vs. control p<0.001 vs. control and p=0.015 STEMI vs. NSTEMI.Platelets from patients presenting with STEMI were found to be different from patients with NSTEMI, with residual platelet activation observed following aspirin treatment in both groups, but with different platelet receptor agonist sensitivities and with different post receptor signaling properties. Platelets from patients with STEMI and NSTEMI, unlike platelets from healthy subjects, synthesize, and likely secrete large quantities of activated MMP9. A difference in the time to diagnose NSTEMI compared to STEMI may theoretically affect platelet function.",PMC5898983.json,"it is assumed that platelets in diseased conditions share similar properties to platelets in healthy conditions, though this has never been examined in detail for myocardial infarction (m.i.). we examined platelets from patients with st segment elevation myocardial infarction (stemi) and non st segment elevation myocardial infarction (nstemi) compared to platelets from healthy volunteers in order to evaluate for differences in platelet phenotype and function. platelet activation was examined and post receptor signal transduction pathways were assessed. platelet derived plasma biomarkers were evaluated by receiver operator characteristic (roc) analyses. maximum platelet activation through the thromboxane receptor was greater in stemi compared to nstemi but less through par1. extracellular signal related kinase (erk5) activation which can activate platelets was increased in platelets from subjects with stemi and especially in platelets from patients with nstemi. matrix metalloproteinase (mmp9) protein content and enzymatic activity were several fold greater in platelets with m.i. compared to control. mean plasma mmp9 concentration in patients with m.i. distinguished between stemi and nstemi (auc 75% [c.i. 6091], p=0.006) which was superior to troponin t (auc 66% [c.i. 4885, p=0.08), predicting stemi with sensitivity 80% (95% c.i. 5694), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p<0.0001), and nstemi with sensitivity 50% (c.i. 2770), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p=0.03). platelets from patients with stemi and nstemi show differences in platelet surface receptor activation and post receptor signal transduction, suggesting the healthy platelet phenotype in which anti platelet agents are often evaluated in preclinical studies is different from platelets in patients with m.i.",0.5200845665961945,0.2038216560509554,0.29716695293012746
