max_rouge,articles,references,max_rouge_rouge-1,max_rouge_rouge-2,max_rouge_rouge-l
"The results showed that compared with the control group, both Tai Chi Chuan and Baduanjingroups showed significantly increased GMV at the medial temporal lobe (MTL), putamen, and insula. Significant GMV increases in the putamen were observed in both Tai Chi Chuan and Baduanjin groups as compared with the control group. Our study showed that 12 weeks of Tai Chi Chuan and Baduanjin exercise can significantly improve memory function and increase GMV in the MTL.",PMC5659386.json,"the aim of this study is to investigate and compare how 12 weeks of tai chi chuan and baduanjin exercise can modulate brain structure and memory function in older adults. magnetic resonance imaging(mri) and memory function measurements (wechsler memory scale chinese revised, wms cr)were applied at both the beginning and end of the study. results showed that both tai chi chuan and baduanjin could significantly increase grey matter volume (gmv) in the insula, medial temporal lobe (mtl), and putamen after 12 weeks of exercise. no significant differences were observed in grey matter volume (gmv) between the tai chi chuan and baduanjin groups. we also found that compared to healthy controls, tai chi chuan and baduanjin significantly improved visual reproduction subscores on the wms cr. baduanjin also improved mental control, recognition, touch and comprehension memory subscores of the wms cr compared to the control group. memory quotient (mq)and visual reproduction subscores were both associated with gmv increases in the putamen and hippocampus. our results demonstrate the potential of tai chi chuan and baduanjin exercise for the prevention of memory deficits in older adults.",0.5096525096525096,0.29571984435797666,0.3965471355972353
"An estimate of 6,512,921 elective surgical cases met the eligibility criteria. The indicator, post operative sepsis (PSI 13), was utilized to identify sepsis as a complication. As a result, we included in the study cohort surgical patients age 18 years and older who were electively admitted to the hospital, did not have diagnosis of sepsis, any infection or any reported immunocompromised status at admission, and stayed in the hospital no less than 4 days .",PMC2951484.json,"objectives to evaluate the incidence of postoperative sepsis after elective procedures, to define surgical procedures with the greatest risk for developing sepsis, and to evaluate patient and hospital confounders background data the development of sepsis after elective surgical procedures imposes a significant clinical and resource utilization burden in the united states. we evaluated the development of sepsis after elective procedures in a nationally representative patient cohort and assessed the impact of sociodemographic and hospital characteristics on the development of postoperative sepsis. methods the nationwide inpatient sample was queried between 2002 2006 and patients developing sepsis after elective procedures were identified utilizing the patient safety indicator postoperative sepsis (psi 13). case mixadjusted rates were calculated by using a multivariate logistic regression model for sepsis risk and an indirect standardization method. results 6,512,921 weighted elective surgical cases met the inclusion criteria and 78,669 cases (1.21%) developed postoperative sepsis. case mix adjustment for age, race, gender, hospital bed size, hospital location, hospital teaching status, and patient income demonstrated esophageal, pancreatic, and gastric procedures represented the greatest risk for the development of postoperative sepsis. thoracic, adrenal, and hepatic operations accounted for the greatest mortality rates if sepsis developed. increasing age, blacks, hispanics, and men were more likely to develop sepsis. decreased median household income, larger hospital bed size, urban hospital location, and non teaching status were associated with greater rates of postoperative sepsis. conclusions the development of postoperative sepsis is multifactorial and procedures most likely to develop sepsis did not demonstrate the greatest mortality after sepsis developed. factors associated with the development of sepsis included race, age, hospital size, hospital location, and patient income. further evaluation of high risk procedures, populations, and environments may assist in reducing this costly complication.",0.2622950819672131,0.06043956043956045,0.18885994292426792
"The effects of abstinence on BOLD signal in these regions, as well as withdrawal and craving, were reduced in adults aged 50 years and older compared to younger smokers . Although additional research is necessary to replicate our findings, our results may suggest an underlying neurocognitive mechanism for reduced nicotine dependence and greater smoking cessation success among older adults . Future research into other age related differences in the effects of smoking abstinence may aid in targeting the most appropriate smoking cessation treatments for older adults .",PMC3701751.json,"nicotine withdrawal is associated with subtle working memory deficits that predict subsequent relapse. we examined the neural substrates underlying these processes in treatment seeking smokers, and explored the moderating influence of age on abstinence induced alterations in brain activity and performance. sixty three smokers participated in two blood oxygen level dependent (bold) functional magnetic resonance imaging (fmri) scans while performing a visual n back task on two separate occasions: smoking as usual and after hours of biochemically confirmed abstinence (order counterbalanced). abstinence (versus smoking) led to reduced accuracy, slower median correct response time, and reduced bold signal change in the a priori regions of interest (rois): medial frontal/cingulate gyrus and right and left dorsolateral prefrontal cortex. significant age x session effects were found for bold signal change in all three regions, as well as for withdrawal and craving; for all measures, abstinence effects were attenuated in smokers aged >50 years compared to those < years old. these results suggest that abstinence effects on neurocognitive function may be more pronounced for younger smokers, and may indicate a new avenue for research exploring mechanisms underlying age differences in smoking cessation success.",0.43223443223443225,0.1033210332103321,0.3017514991530646
"Stimuli with two different mean pulse rates, 3 Hz and 6 Hz, were randomly intermixed; pilot testing showed that these two rates would be reliably, though imperfectly, discriminated. Subjects categorized the rate of each stimulus as either slow (3 Hz) or fast (6 Hz). This shift toward the mean IPI of a 3 Hz stimulus would promote confusion and lead subjects to mistake the nominally 6 Hz stimulus for one of 3 Hz.",PMC6990458.json,"beats are among the basic units of perceptual experience. produced by regular, intermittent stimulation, beats are most commonly associated with audition, but the experience of a beat can result from stimulation in other modalities as well. we studied the robustness of visual, vibrotactile, and bimodal signals as sources of beat perception. subjects attempted to discriminate between pulse trains delivered at hz or at hz. to investigate signal robustness, we intentionally degraded signals on two thirds of the trials using temporal domain noise. on these trials, inter pulse intervals (ipis) were stochastic, perturbed independently from the nominal ipi by random samples from zero mean gaussian distributions with different variances. these perturbations produced directional changes in the ipis, which either increased or decreased the likelihood of confusing the two pulse rates. in addition to affording an assay of signal robustness, this paradigm made it possible to gauge how subjects judgments were influenced by successive ipis. logistic regression revealed a strong primacy effect: subjects decisions were disproportionately influenced by a trials initial ipis. response times and parameter estimates from drift diffusion modeling showed that information accumulates more rapidly with bimodal stimulation than with either unimodal stimulus alone. analysis of error rates within each condition suggested consistently optimal decision making, even with increased ipi variability. finally, beat information delivered by vibrotactile signals proved just as robust as information conveyed by visual signals, confirming vibrotactile stimulations potential as a communication channel.",0.23948220064724918,0.032573289902280124,0.14622401633768545
"thus, gpihbp1 is required for the processing of both apo b48 and apo b100containing lipoproteins. conclusions chylomicronemia causes atherosclerosis in mice. also, we found that gpihbp1 is required for the lipolytic processing of both apo b48 and apo b100containing lipoproteins.",PMC2796285.json,"objective the risk of atherosclerosis in the setting of chylomicronemia has been a topic of debate. in this study, we examined susceptibility to atherosclerosis in gpihbp1 deficient mice (gpihbp1/), which manifest severe chylomicronemia as a result of defective lipolysis. methods and results gpihbp1/ mice on a chow diet have plasma triglyceride and cholesterol levels of 209 and 27 mg/dl, respectively. even though nearly all of the lipids were contained in large lipoproteins (50135 nm), the mice developed progressive aortic atherosclerosis. in other experiments, we found that both gpihbp1 deficient apo b48only mice and gpihbp1 deficient apo b100only mice manifest severe chylomicronemia. thus, gpihbp1 is required for the processing of both apo b48 and apo b100containing lipoproteins. conclusions chylomicronemia causes atherosclerosis in mice. also, we found that gpihbp1 is required for the lipolytic processing of both apo b48 and apo b100containing lipoproteins.",0.43956043956043955,0.43333333333333335,0.5162297522157057
10.1111/j.1365 2036.2009.04144.x Figure 1Proportion of Patients Achieving a Minimal Clinically Important Difference (MCID) for Key Variables Stratified by Pain Numeric Rating Scale (NRS) Responder Status. The data indicate that the pain NRS was able to discriminate between clinically relevant responses for each of the concurrent indices tested . Work ProductivityWorker Productivity Activity Index for IBS (WPAI:IBS)YesYesA disease targeted measure of absenteeism and presenteeism.,PMC2793273.json,"background controversy exists about how to effectively measure patient reported outcomes in ibs clinical trials. pain numeric rating scales (nrs) are widely used in the non ibs pain literature. the fda has proposed using the nrs in ibs. aim to test the psychometrics of an abdominal pain nrs in ibs. methods we analyzed data from a longitudinal cohort of rome iii ibs subjects. at entry, subjects completed a 10 point nrs, bowel symptoms, ibs severity measurements (ibsss, fbdsi), health related quality of life indices (ibs qol, eq5d), and the worker productivity activity index (wpai). we repeated assessments at months along with a response scale to calculate the minimal clinically important difference (mcid). results there were subjects (82% women; age=4215) at baseline and at months. the nrs correlated cross sectionally with ibsss (r=0.60; p<0.0011), fbdsi (r=0.49; p<0.0001), ibs qol (r=0.43; p<0.0001), eq5d (r=0.48; p<0.0001), presenteeism (r=0.39; p<0.0001), absenteeism (r=0.17; p=0.04), and distension (r=0.46; p<0.0001), but not stool frequency or form. the mcid was 2.2 points, correlating with a 29.5% reduction over time. conclusions an abdominal pain nrs exhibits excellent validity and can be readily interpreted with an mcid in patients with ibs. these data support the use of the nrs in ibs clinical trials.",0.25,0.0794701986754967,0.188577681589422
" However, both beta amyloid and cytochrome c isoAsp peptides eluted after their Asp counterparts under the LC MS conditions, see for beta amyloid peptides and for cytochrome c peptides. As discussed earlier, due to the subtle difference between the physiochemical properties of isoAsp and Asp peptide, these peptides often co elute; one example is shown in Figure 4 in a recent paper. , Noticeable levels of isoAsp have been detected at several positions, e.g., Asp 1 and Asp 7, in beta amyloid from the senile plaques in the brains of Alzheimers patients.",PMC2936825.json,"a ubiquitous yet underappreciated protein post translational modification, isoaspartic acid (isoasp, isod or asp), generated via the deamidation of asparagine or isomerization of aspartic acid in proteins, plays a diverse and crucial role in ageing, as well as autoimmune, cancer, neurodegeneration and other diseases. in addition, formation of isoasp is a major concern in protein pharmaceuticals, as it may lead to aggregation or activity loss. the scope and significance of isoasp have, up to now, not been fully explored, as an unbiased screening of isoasp at low abundance remains challenging. this difficulty is due to the subtle difference in the physicochemical properties between isoasp and asp, e.g., identical mass. in contrast, endoprotease asp n (ec 3.4.24.33) selectively cleaves aspartyl peptides but not the isoaspartyl counterparts. as a consequence, isoaspartyl peptides can be differentiated from those containing asp and also enriched by asp n digestion. subsequently, the existence and site of isoaspartate can be confirmed by electron transfer dissociation (etd) mass spectrometry. as little as 0.5 % of isoasp was detected in synthetic beta amyloid and cytochrome c peptides, even though both were initially assumed to be free of isoasp. taken together, our approach should expedite the unbiased discovery of isoasp.",0.3310810810810811,0.108843537414966,0.24475513588512549
"The goal of this paper was to examine cysteine modifications induced during the sample preparation for protein characterization, specifically the conversion of cysteine to dehydroalanine for example during disulfide mapping; and cysteine to alanine when heating with TCEP. Specifically, we examined two modifications, i.e. conversion of cysteine to dehydroalanine and cysteine to alanine, caused by sample preparation. On the other hand, it was found that though TCEP is an effective reducing reagent at room temperature, an artifact corresponding to the conversion of cysteine to alanine can occur after heating cysteine containing peptides in the presence of TCEP.",PMC2908508.json,"in this paper, we have examined two cysteine modifications resulting from sample preparation for protein characterization by ms: (1) a previously observed conversion of cysteine to dehydroalanine, now found in the case of disulfide mapping and (2) a novel modification corresponding to conversion of cysteine to alanine. using model peptides, the conversion of cysteine to dehydroalanine via elimination of a disulfide bond was seen to result from the conditions of typical tryptic digestion (37 c, ph 7.0 9.0) without disulfide reduction and alkylation.. furthermore, the surprising conversion of cysteine to alanine was shown to occur by heating cysteine containing peptides in the presence of a phosphine (tcep). the formation of alanine from cysteine, investigated by performing experiments in h2o or d2o, suggested a radical based desulfurization mechanism unrelated to elimination. importantly, an understanding of the mechanism and conditions favorable for cysteine desulfurization provides insight for the establishment of improved sample preparation procedures of protein analysis.",0.5098039215686275,0.2608695652173913,0.4136074295391899
"High resolution structures of PrP sen are well established and have provided useful information regarding the influence of various regions in the PrP sen to PrP res conversion process. Analysis of the secondary structure of PrP res has revealed a high percentage of acquired  sheet structure and it has been shown that the conformation of this  sheet can vary between PrP res samples from different TSE strains. PrP res is sometimes but not always found in the form of amyloid fibrils, further illustrating the complex nature of potential PrP conformations.",PMC2674794.json,transmissible spongiform encephalopathies (tses or prion diseases) are a rare group of invariably fatal neurodegenerative disorders that affect humans and other mammals. tses are protein misfolding diseases that involve the accumulation of an abnormally aggregated form of the normal host prion protein. they are unique among protein misfolding disorders in that they are transmissible and have different strains of infectious agent that are associated with unique phenotypes in vivo. a wealth of biological and biophysical evidence now suggests that the molecular basis for prion diseases may be encoded by protein conformation. the purpose of this review is to provide an overview of the existing structural information for prion protein within the context of what is known about the biology of prion disease.,0.32075471698113206,0.047619047619047616,0.24953289421726335
"Platelets from patients presenting with STEMI were found to be different from patients with NSTEMI, with residual platelet activation observed following aspirin treatment in both groups, but with different platelet receptor agonist sensitivities and with different post receptor signaling properties. Platelets from patients with STEMI and NSTEMI, unlike platelets from healthy subjects, synthesize, and likely secrete large quantities of activated MMP9. A difference in the time to diagnose NSTEMI compared to STEMI may theoretically affect platelet function.",PMC5898983.json,"it is assumed that platelets in diseased conditions share similar properties to platelets in healthy conditions, though this has never been examined in detail for myocardial infarction (m.i.). we examined platelets from patients with st segment elevation myocardial infarction (stemi) and non st segment elevation myocardial infarction (nstemi) compared to platelets from healthy volunteers in order to evaluate for differences in platelet phenotype and function. platelet activation was examined and post receptor signal transduction pathways were assessed. platelet derived plasma biomarkers were evaluated by receiver operator characteristic (roc) analyses. maximum platelet activation through the thromboxane receptor was greater in stemi compared to nstemi but less through par1. extracellular signal related kinase (erk5) activation which can activate platelets was increased in platelets from subjects with stemi and especially in platelets from patients with nstemi. matrix metalloproteinase (mmp9) protein content and enzymatic activity were several fold greater in platelets with m.i. compared to control. mean plasma mmp9 concentration in patients with m.i. distinguished between stemi and nstemi (auc 75% [c.i. 6091], p=0.006) which was superior to troponin t (auc 66% [c.i. 4885, p=0.08), predicting stemi with sensitivity 80% (95% c.i. 5694), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p<0.0001), and nstemi with sensitivity 50% (c.i. 2770), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p=0.03). platelets from patients with stemi and nstemi show differences in platelet surface receptor activation and post receptor signal transduction, suggesting the healthy platelet phenotype in which anti platelet agents are often evaluated in preclinical studies is different from platelets in patients with m.i.",0.2994350282485876,0.12499999999999999,0.23341849159652647
