min_rouge,articles,references,min_rouge_rouge-1,min_rouge_rouge-2,min_rouge_rouge-l
"The T1 weighted structural images were acquired with a Magnetization prepared rapid gradient echo sequence (MPRAGE). The scanning parameters were as follows: Echo time (TE) = min, flip angle = 15 degree, slice thickness= 1mm, field of view=240 mm, 164 contiguous slices . Longer trials with a larger sample size are needed to test this hypothesis .",PMC5659386.json,"the aim of this study is to investigate and compare how 12 weeks of tai chi chuan and baduanjin exercise can modulate brain structure and memory function in older adults. magnetic resonance imaging(mri) and memory function measurements (wechsler memory scale chinese revised, wms cr)were applied at both the beginning and end of the study. results showed that both tai chi chuan and baduanjin could significantly increase grey matter volume (gmv) in the insula, medial temporal lobe (mtl), and putamen after 12 weeks of exercise. no significant differences were observed in grey matter volume (gmv) between the tai chi chuan and baduanjin groups. we also found that compared to healthy controls, tai chi chuan and baduanjin significantly improved visual reproduction subscores on the wms cr. baduanjin also improved mental control, recognition, touch and comprehension memory subscores of the wms cr compared to the control group. memory quotient (mq)and visual reproduction subscores were both associated with gmv increases in the putamen and hippocampus. our results demonstrate the potential of tai chi chuan and baduanjin exercise for the prevention of memory deficits in older adults.",0.09205020920502094,0.0,0.1074661872357544
"The majority of the patients (51.4%) were 65 years and above, female (P<0.0002), and white (82.1%). More than half of all patients were insured by Medicare (51.7%) and 37.9% were privately insured . Observations with post operative sepsis had the following ICD 9 CM diagnosis codes in any secondary position (suggesting a complication from the surgical procedure) for the diagnosis codes: Streptococcal septicemia (038.0), Staphylococcal septicemia unspecified (038.10), Staphylococcus aureus septicemia (038.11), Other Staphylococcal septicemia (038.19), Pneumococcal septicemia (038.2), Septicemia due to anaerobes (038.3), Gram negative organism unspecified (038.40), Hemophilus influenzae (038.41), Escherichia coli (038.42), Pseudomonas (038.43), Serratia (038.44), Septicemia due to other Gram negative organisms (038.49), Other specified septicemias (038.8), Unspecified septicemia (038.9), Septic Shock (785.52), Other shock without mention of trauma (785.59), Systemic inflammatory response syndrome due to infectious process without organ dysfunction (995.91), Systemic inflammatory response syndrome due to infectious process with organ dysfunction (995.92).",PMC2951484.json,"objectives to evaluate the incidence of postoperative sepsis after elective procedures, to define surgical procedures with the greatest risk for developing sepsis, and to evaluate patient and hospital confounders background data the development of sepsis after elective surgical procedures imposes a significant clinical and resource utilization burden in the united states. we evaluated the development of sepsis after elective procedures in a nationally representative patient cohort and assessed the impact of sociodemographic and hospital characteristics on the development of postoperative sepsis. methods the nationwide inpatient sample was queried between 2002 2006 and patients developing sepsis after elective procedures were identified utilizing the patient safety indicator postoperative sepsis (psi 13). case mixadjusted rates were calculated by using a multivariate logistic regression model for sepsis risk and an indirect standardization method. results 6,512,921 weighted elective surgical cases met the inclusion criteria and 78,669 cases (1.21%) developed postoperative sepsis. case mix adjustment for age, race, gender, hospital bed size, hospital location, hospital teaching status, and patient income demonstrated esophageal, pancreatic, and gastric procedures represented the greatest risk for the development of postoperative sepsis. thoracic, adrenal, and hepatic operations accounted for the greatest mortality rates if sepsis developed. increasing age, blacks, hispanics, and men were more likely to develop sepsis. decreased median household income, larger hospital bed size, urban hospital location, and non teaching status were associated with greater rates of postoperative sepsis. conclusions the development of postoperative sepsis is multifactorial and procedures most likely to develop sepsis did not demonstrate the greatest mortality after sepsis developed. factors associated with the development of sepsis included race, age, hospital size, hospital location, and patient income. further evaluation of high risk procedures, populations, and environments may assist in reducing this costly complication.",0.14316702819956617,0.0130718954248366,0.13102154258667545
Another potential limitation is our exclusion of individuals with comorbid Axis I psychiatric disorders. Female participants completed a urine pregnancy test. Each condition was presented three times in 20 trial blocks (33% targets; 60 s).,PMC3701751.json,"nicotine withdrawal is associated with subtle working memory deficits that predict subsequent relapse. we examined the neural substrates underlying these processes in treatment seeking smokers, and explored the moderating influence of age on abstinence induced alterations in brain activity and performance. sixty three smokers participated in two blood oxygen level dependent (bold) functional magnetic resonance imaging (fmri) scans while performing a visual n back task on two separate occasions: smoking as usual and after hours of biochemically confirmed abstinence (order counterbalanced). abstinence (versus smoking) led to reduced accuracy, slower median correct response time, and reduced bold signal change in the a priori regions of interest (rois): medial frontal/cingulate gyrus and right and left dorsolateral prefrontal cortex. significant age x session effects were found for bold signal change in all three regions, as well as for withdrawal and craving; for all measures, abstinence effects were attenuated in smokers aged >50 years compared to those < years old. these results suggest that abstinence effects on neurocognitive function may be more pronounced for younger smokers, and may indicate a new avenue for research exploring mechanisms underlying age differences in smoking cessation success.",0.07142857142857144,0.0,0.0906084994141687
"31648198 4.1. Additionally, alternative sequential sampling models may have been better suited for our task. At the average viewing distance, each Gabor subtended ~1.4, and had a peak luminance of 125 cd/m2 on a steady background luminance of 52 cd/m2.",PMC6990458.json,"beats are among the basic units of perceptual experience. produced by regular, intermittent stimulation, beats are most commonly associated with audition, but the experience of a beat can result from stimulation in other modalities as well. we studied the robustness of visual, vibrotactile, and bimodal signals as sources of beat perception. subjects attempted to discriminate between pulse trains delivered at hz or at hz. to investigate signal robustness, we intentionally degraded signals on two thirds of the trials using temporal domain noise. on these trials, inter pulse intervals (ipis) were stochastic, perturbed independently from the nominal ipi by random samples from zero mean gaussian distributions with different variances. these perturbations produced directional changes in the ipis, which either increased or decreased the likelihood of confusing the two pulse rates. in addition to affording an assay of signal robustness, this paradigm made it possible to gauge how subjects judgments were influenced by successive ipis. logistic regression revealed a strong primacy effect: subjects decisions were disproportionately influenced by a trials initial ipis. response times and parameter estimates from drift diffusion modeling showed that information accumulates more rapidly with bimodal stimulation than with either unimodal stimulus alone. analysis of error rates within each condition suggested consistently optimal decision making, even with increased ipi variability. finally, beat information delivered by vibrotactile signals proved just as robust as information conveyed by visual signals, confirming vibrotactile stimulations potential as a communication channel.",0.09285714285714286,0.0,0.08552636368954297
"While this hypothesis initially seemed attractive, it was incorrect. The lesions also stained strongly for macrophages . The lesions were small at 1112 months (median 500 m2/section) but were much larger at 1622 months (median 3000 m2/section) .",PMC2796285.json,"objective the risk of atherosclerosis in the setting of chylomicronemia has been a topic of debate. in this study, we examined susceptibility to atherosclerosis in gpihbp1 deficient mice (gpihbp1/), which manifest severe chylomicronemia as a result of defective lipolysis. methods and results gpihbp1/ mice on a chow diet have plasma triglyceride and cholesterol levels of 209 and 27 mg/dl, respectively. even though nearly all of the lipids were contained in large lipoproteins (50135 nm), the mice developed progressive aortic atherosclerosis. in other experiments, we found that both gpihbp1 deficient apo b48only mice and gpihbp1 deficient apo b100only mice manifest severe chylomicronemia. thus, gpihbp1 is required for the processing of both apo b48 and apo b100containing lipoproteins. conclusions chylomicronemia causes atherosclerosis in mice. also, we found that gpihbp1 is required for the lipolytic processing of both apo b48 and apo b100containing lipoproteins.",0.07777777777777777,0.0,0.09225377594792887
Generic Psychological HealthHospital Anxiety & Depression (HAD) questionnaireYesNoA 14 item measure of generalized anxiety and depression.Somatization Scale of the Brief Symptom Index (BSI)YesNoAn 8 item measure of somatization. Refer to for a description of all constructs and their abbreviations . We used SAS v9.1 for all analyses .,PMC2793273.json,"background controversy exists about how to effectively measure patient reported outcomes in ibs clinical trials. pain numeric rating scales (nrs) are widely used in the non ibs pain literature. the fda has proposed using the nrs in ibs. aim to test the psychometrics of an abdominal pain nrs in ibs. methods we analyzed data from a longitudinal cohort of rome iii ibs subjects. at entry, subjects completed a 10 point nrs, bowel symptoms, ibs severity measurements (ibsss, fbdsi), health related quality of life indices (ibs qol, eq5d), and the worker productivity activity index (wpai). we repeated assessments at months along with a response scale to calculate the minimal clinically important difference (mcid). results there were subjects (82% women; age=4215) at baseline and at months. the nrs correlated cross sectionally with ibsss (r=0.60; p<0.0011), fbdsi (r=0.49; p<0.0001), ibs qol (r=0.43; p<0.0001), eq5d (r=0.48; p<0.0001), presenteeism (r=0.39; p<0.0001), absenteeism (r=0.17; p=0.04), and distension (r=0.46; p<0.0001), but not stool frequency or form. the mcid was 2.2 points, correlating with a 29.5% reduction over time. conclusions an abdominal pain nrs exhibits excellent validity and can be readily interpreted with an mcid in patients with ibs. these data support the use of the nrs in ibs clinical trials.",0.11347517730496454,0.007142857142857143,0.10448927407019497
"A linear gradient from 2 % to 40 % mobile phase B over 30 minutes was used to separate Lys C digest of A1 42 and isoA1 42. Similar results were obtained for the c6 and c6+57 ions, as well for the Cyt c peptide, see . Mark Mamula and Hester Doyle of Yale University.",PMC2936825.json,"a ubiquitous yet underappreciated protein post translational modification, isoaspartic acid (isoasp, isod or asp), generated via the deamidation of asparagine or isomerization of aspartic acid in proteins, plays a diverse and crucial role in ageing, as well as autoimmune, cancer, neurodegeneration and other diseases. in addition, formation of isoasp is a major concern in protein pharmaceuticals, as it may lead to aggregation or activity loss. the scope and significance of isoasp have, up to now, not been fully explored, as an unbiased screening of isoasp at low abundance remains challenging. this difficulty is due to the subtle difference in the physicochemical properties between isoasp and asp, e.g., identical mass. in contrast, endoprotease asp n (ec 3.4.24.33) selectively cleaves aspartyl peptides but not the isoaspartyl counterparts. as a consequence, isoaspartyl peptides can be differentiated from those containing asp and also enriched by asp n digestion. subsequently, the existence and site of isoaspartate can be confirmed by electron transfer dissociation (etd) mass spectrometry. as little as 0.5 % of isoasp was detected in synthetic beta amyloid and cytochrome c peptides, even though both were initially assumed to be free of isoasp. taken together, our approach should expedite the unbiased discovery of isoasp.",0.14007782101167315,0.01568627450980392,0.14235120982464616
"To study these modifications, atriopeptin, a small 23 amino acid peptide was first selected as a model compound. None Separate stock solutions of atriopeptin, lysozyme and somatostatin (1 g/L) were prepared in deionized water and stored at  20 C. Lysozyme was digested with a 30:1 (w/w) substrate to enzyme ratio at 37 C for 4 hours.",PMC2908508.json,"in this paper, we have examined two cysteine modifications resulting from sample preparation for protein characterization by ms: (1) a previously observed conversion of cysteine to dehydroalanine, now found in the case of disulfide mapping and (2) a novel modification corresponding to conversion of cysteine to alanine. using model peptides, the conversion of cysteine to dehydroalanine via elimination of a disulfide bond was seen to result from the conditions of typical tryptic digestion (37 c, ph 7.0 9.0) without disulfide reduction and alkylation.. furthermore, the surprising conversion of cysteine to alanine was shown to occur by heating cysteine containing peptides in the presence of a phosphine (tcep). the formation of alanine from cysteine, investigated by performing experiments in h2o or d2o, suggested a radical based desulfurization mechanism unrelated to elimination. importantly, an understanding of the mechanism and conditions favorable for cysteine desulfurization provides insight for the establishment of improved sample preparation procedures of protein analysis.",0.1851851851851852,0.009345794392523366,0.1397551523678215
"In particular, a key loop region composed of residues ~165171 displays structural variations between species and is thought to influence species specific intermolecular contacts, perhaps acting as a nucleation site in the conversion process. However, there are no corresponding structures of PrP res due to problems with insolubility and heterogeneity of purified samples. It is thus critical to more thoroughly investigate PrP res structure in order to understand what conformations may be associated with TSE infectivity .",PMC2674794.json,transmissible spongiform encephalopathies (tses or prion diseases) are a rare group of invariably fatal neurodegenerative disorders that affect humans and other mammals. tses are protein misfolding diseases that involve the accumulation of an abnormally aggregated form of the normal host prion protein. they are unique among protein misfolding disorders in that they are transmissible and have different strains of infectious agent that are associated with unique phenotypes in vivo. a wealth of biological and biophysical evidence now suggests that the molecular basis for prion diseases may be encoded by protein conformation. the purpose of this review is to provide an overview of the existing structural information for prion protein within the context of what is known about the biology of prion disease.,0.22222222222222224,0.02040816326530612,0.18488714314076002
"The population size, while heterogeneous, was relatively small, and will need to be validated in a larger cohort. After 15 minutes, 1 L of labeled CD62P (p selectin) antibody was incubated in the dark for 30 minutes. Data was then processed through FloJo (Ashland, Oregon).",PMC5898983.json,"it is assumed that platelets in diseased conditions share similar properties to platelets in healthy conditions, though this has never been examined in detail for myocardial infarction (m.i.). we examined platelets from patients with st segment elevation myocardial infarction (stemi) and non st segment elevation myocardial infarction (nstemi) compared to platelets from healthy volunteers in order to evaluate for differences in platelet phenotype and function. platelet activation was examined and post receptor signal transduction pathways were assessed. platelet derived plasma biomarkers were evaluated by receiver operator characteristic (roc) analyses. maximum platelet activation through the thromboxane receptor was greater in stemi compared to nstemi but less through par1. extracellular signal related kinase (erk5) activation which can activate platelets was increased in platelets from subjects with stemi and especially in platelets from patients with nstemi. matrix metalloproteinase (mmp9) protein content and enzymatic activity were several fold greater in platelets with m.i. compared to control. mean plasma mmp9 concentration in patients with m.i. distinguished between stemi and nstemi (auc 75% [c.i. 6091], p=0.006) which was superior to troponin t (auc 66% [c.i. 4885, p=0.08), predicting stemi with sensitivity 80% (95% c.i. 5694), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p<0.0001), and nstemi with sensitivity 50% (c.i. 2770), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p=0.03). platelets from patients with stemi and nstemi show differences in platelet surface receptor activation and post receptor signal transduction, suggesting the healthy platelet phenotype in which anti platelet agents are often evaluated in preclinical studies is different from platelets in patients with m.i.",0.08074534161490683,0.0,0.094297170965661
"Due to its colocalization with actin, and the actin TJ linking protein ZO 1, the cytoskeleton was clearly implicated. Monolayers were pulse biotinylated and at various timepoints total protein was extracted. Band intensities were quantified and fitted to an exponential decay.",PMC2836164.json,"the a33 antigen is a cell surface glycoprotein of the small intestine and colonic epithelium with homology to tight junction associated proteins of the immunoglobulin superfamily, including car and jam. its restricted tissue localization and high level of expression have led to its use as a target in colon cancer immunotherapy. although the antigen is also present in normal intestine, radiolabeled antibodies against a33 are selectively retained by tumors in the gut as well as in metastatic lesions for as long as weeks. accordingly, we have studied the trafficking and kinetic properties of the antigen to determine its promise in two step, pretargeted therapies. the localization, mobility, and persistence of the antigen were investigated, and this work has demonstrated that the antigen is both highly immobile and extremely persistent retaining its surface localization for a turnover halflife of greater than days. in order to explain these unusual properties, we explored the possibility that a33 is a component of the tight junction. the simple property of surface persistence, described here, may contribute to the prolonged retention of the clinically administered antibodies, and their uncommon ability to penetrate solid tumors.",0.09606986899563319,0.008810572687224669,0.12402773021071764
