min_rouge,articles,references,min_rouge_rouge-1,min_rouge_rouge-2,min_rouge_rouge-l
"Two cohorts of participants were simultaneously and independently recruited from the same community. Printed leaflets, brochures, and community recruitment stations were used to recruit participants. Age (year), gender, and education (year) were also included in the model as covariates.",PMC5659386.json,"the aim of this study is to investigate and compare how 12 weeks of tai chi chuan and baduanjin exercise can modulate brain structure and memory function in older adults. magnetic resonance imaging(mri) and memory function measurements (wechsler memory scale chinese revised, wms cr)were applied at both the beginning and end of the study. results showed that both tai chi chuan and baduanjin could significantly increase grey matter volume (gmv) in the insula, medial temporal lobe (mtl), and putamen after 12 weeks of exercise. no significant differences were observed in grey matter volume (gmv) between the tai chi chuan and baduanjin groups. we also found that compared to healthy controls, tai chi chuan and baduanjin significantly improved visual reproduction subscores on the wms cr. baduanjin also improved mental control, recognition, touch and comprehension memory subscores of the wms cr compared to the control group. memory quotient (mq)and visual reproduction subscores were both associated with gmv increases in the putamen and hippocampus. our results demonstrate the potential of tai chi chuan and baduanjin exercise for the prevention of memory deficits in older adults.",0.10714285714285714,0.00900900900900901,0.14949617377082025
"This database was developed as part of the Healthcare Cost and Utilization Project (HCUP) and sponsored by the Agency for Healthcare Research and Quality (AHRQ). The most current NIS data includes approximately 8 million hospitals admissions annually and, utilizing the weighting function methodology provided by HCUP, allows for the computation of national estimates with variances for specific variables. All data were analyzed and results were reported utilizing the weighting methodology included with the NIS and as previously reported in other epidemiologic outcomes studies in surgery.",PMC2951484.json,"objectives to evaluate the incidence of postoperative sepsis after elective procedures, to define surgical procedures with the greatest risk for developing sepsis, and to evaluate patient and hospital confounders background data the development of sepsis after elective surgical procedures imposes a significant clinical and resource utilization burden in the united states. we evaluated the development of sepsis after elective procedures in a nationally representative patient cohort and assessed the impact of sociodemographic and hospital characteristics on the development of postoperative sepsis. methods the nationwide inpatient sample was queried between 2002 2006 and patients developing sepsis after elective procedures were identified utilizing the patient safety indicator postoperative sepsis (psi 13). case mixadjusted rates were calculated by using a multivariate logistic regression model for sepsis risk and an indirect standardization method. results 6,512,921 weighted elective surgical cases met the inclusion criteria and 78,669 cases (1.21%) developed postoperative sepsis. case mix adjustment for age, race, gender, hospital bed size, hospital location, hospital teaching status, and patient income demonstrated esophageal, pancreatic, and gastric procedures represented the greatest risk for the development of postoperative sepsis. thoracic, adrenal, and hepatic operations accounted for the greatest mortality rates if sepsis developed. increasing age, blacks, hispanics, and men were more likely to develop sepsis. decreased median household income, larger hospital bed size, urban hospital location, and non teaching status were associated with greater rates of postoperative sepsis. conclusions the development of postoperative sepsis is multifactorial and procedures most likely to develop sepsis did not demonstrate the greatest mortality after sepsis developed. factors associated with the development of sepsis included race, age, hospital size, hospital location, and patient income. further evaluation of high risk procedures, populations, and environments may assist in reducing this costly complication.",0.19733333333333333,0.0160857908847185,0.18441163558363327
"On the session days, those with a positive drug screen, a breath alcohol test >0.01, or a breath carbon monoxide (CO) test >9ppm (abstinent session only) were excluded. All subject imaging sessions were acquired on the same scanner (Siemens Tim Trio 3 Tesla, Erlangen, Germany; 32 channel head coil) using the same imaging sequences. BOLD fMRI was acquired using a whole brain, single shot, multi slice, gradient echo (GE) echoplanar (EPI) sequence of 308 volumes with the following parameters: TR/TE=3000/30 ms, FOV=448x448 mm, matrix=64X64, flip angle=90, slices=40, slice thickness/gap=3mm/0mm and effective voxel resolution=3.4  3.4  3.4.",PMC3701751.json,"nicotine withdrawal is associated with subtle working memory deficits that predict subsequent relapse. we examined the neural substrates underlying these processes in treatment seeking smokers, and explored the moderating influence of age on abstinence induced alterations in brain activity and performance. sixty three smokers participated in two blood oxygen level dependent (bold) functional magnetic resonance imaging (fmri) scans while performing a visual n back task on two separate occasions: smoking as usual and after hours of biochemically confirmed abstinence (order counterbalanced). abstinence (versus smoking) led to reduced accuracy, slower median correct response time, and reduced bold signal change in the a priori regions of interest (rois): medial frontal/cingulate gyrus and right and left dorsolateral prefrontal cortex. significant age x session effects were found for bold signal change in all three regions, as well as for withdrawal and craving; for all measures, abstinence effects were attenuated in smokers aged >50 years compared to those < years old. these results suggest that abstinence effects on neurocognitive function may be more pronounced for younger smokers, and may indicate a new avenue for research exploring mechanisms underlying age differences in smoking cessation success.",0.1471571906354515,0.0,0.10550546638569139
"Using equivalence bounds of (0.0768, 0.0768), calculated with n = 23 subjects at 80% power and  = 0.05, Two One Sided Tests (TOST) for equivalence were significant in all noise levels at  = 0.05 [0% noise: t(22) = 1.93, p = 0.034; 20% noise: t(22) = 2.52, p = 0.01; 40% noise: t(22) = 2.88, p = 0.004], allowing us to conclude that the observed difference between proportions of the two types of errors was statistically equivalent to zero. 2.1. Experimental procedures were approved by Brandeis Universitys Institutional Review Board and were conducted in accordance with the Declaration of Helsinki.",PMC6990458.json,"beats are among the basic units of perceptual experience. produced by regular, intermittent stimulation, beats are most commonly associated with audition, but the experience of a beat can result from stimulation in other modalities as well. we studied the robustness of visual, vibrotactile, and bimodal signals as sources of beat perception. subjects attempted to discriminate between pulse trains delivered at hz or at hz. to investigate signal robustness, we intentionally degraded signals on two thirds of the trials using temporal domain noise. on these trials, inter pulse intervals (ipis) were stochastic, perturbed independently from the nominal ipi by random samples from zero mean gaussian distributions with different variances. these perturbations produced directional changes in the ipis, which either increased or decreased the likelihood of confusing the two pulse rates. in addition to affording an assay of signal robustness, this paradigm made it possible to gauge how subjects judgments were influenced by successive ipis. logistic regression revealed a strong primacy effect: subjects decisions were disproportionately influenced by a trials initial ipis. response times and parameter estimates from drift diffusion modeling showed that information accumulates more rapidly with bimodal stimulation than with either unimodal stimulus alone. analysis of error rates within each condition suggested consistently optimal decision making, even with increased ipi variability. finally, beat information delivered by vibrotactile signals proved just as robust as information conveyed by visual signals, confirming vibrotactile stimulations potential as a communication channel.",0.1818181818181818,0.017699115044247787,0.15520789027381976
Lipoprotein diameters were measured by laser light scattering. Western blots were performed as described. Macrophages were stained with a monoclonal antibody against CD68 (Serotec; 1:100) .,PMC2796285.json,"objective the risk of atherosclerosis in the setting of chylomicronemia has been a topic of debate. in this study, we examined susceptibility to atherosclerosis in gpihbp1 deficient mice (gpihbp1/), which manifest severe chylomicronemia as a result of defective lipolysis. methods and results gpihbp1/ mice on a chow diet have plasma triglyceride and cholesterol levels of 209 and 27 mg/dl, respectively. even though nearly all of the lipids were contained in large lipoproteins (50135 nm), the mice developed progressive aortic atherosclerosis. in other experiments, we found that both gpihbp1 deficient apo b48only mice and gpihbp1 deficient apo b100only mice manifest severe chylomicronemia. thus, gpihbp1 is required for the processing of both apo b48 and apo b100containing lipoproteins. conclusions chylomicronemia causes atherosclerosis in mice. also, we found that gpihbp1 is required for the lipolytic processing of both apo b48 and apo b100containing lipoproteins.",0.05952380952380953,0.0,0.06465367560878202
"In a clinical trial, patients must report some pain at baseline in order to justify measuring pain improvement over time  i.e. patients without baseline pain will, by definition, have no opportunity to improve. provides an overview of key baseline characteristics of the sample. The population was diverse across demographic characteristics, including race, education, and income.",PMC2793273.json,"background controversy exists about how to effectively measure patient reported outcomes in ibs clinical trials. pain numeric rating scales (nrs) are widely used in the non ibs pain literature. the fda has proposed using the nrs in ibs. aim to test the psychometrics of an abdominal pain nrs in ibs. methods we analyzed data from a longitudinal cohort of rome iii ibs subjects. at entry, subjects completed a 10 point nrs, bowel symptoms, ibs severity measurements (ibsss, fbdsi), health related quality of life indices (ibs qol, eq5d), and the worker productivity activity index (wpai). we repeated assessments at months along with a response scale to calculate the minimal clinically important difference (mcid). results there were subjects (82% women; age=4215) at baseline and at months. the nrs correlated cross sectionally with ibsss (r=0.60; p<0.0011), fbdsi (r=0.49; p<0.0001), ibs qol (r=0.43; p<0.0001), eq5d (r=0.48; p<0.0001), presenteeism (r=0.39; p<0.0001), absenteeism (r=0.17; p=0.04), and distension (r=0.46; p<0.0001), but not stool frequency or form. the mcid was 2.2 points, correlating with a 29.5% reduction over time. conclusions an abdominal pain nrs exhibits excellent validity and can be readily interpreted with an mcid in patients with ibs. these data support the use of the nrs in ibs clinical trials.",0.17241379310344826,0.027777777777777776,0.14675909340392426
"As illustrated in , isoAsp introduces an extra methylene group into the peptide backbone and results in a beta peptide linkage, compared to a typical alpha peptide linkage rendered by Asp. Moreover, relative to peptide backbones, the stereochemistry of the chiral center next to the amide is inverted when Asp is converted into isoAsp, essentially generating a D amino acid from the L Asp as depicted in . It should be noted that cleavage at the N terminal side of glutamic acid (Glu11) in A1 16 was also observed, albeit less than 5 %.",PMC2936825.json,"a ubiquitous yet underappreciated protein post translational modification, isoaspartic acid (isoasp, isod or asp), generated via the deamidation of asparagine or isomerization of aspartic acid in proteins, plays a diverse and crucial role in ageing, as well as autoimmune, cancer, neurodegeneration and other diseases. in addition, formation of isoasp is a major concern in protein pharmaceuticals, as it may lead to aggregation or activity loss. the scope and significance of isoasp have, up to now, not been fully explored, as an unbiased screening of isoasp at low abundance remains challenging. this difficulty is due to the subtle difference in the physicochemical properties between isoasp and asp, e.g., identical mass. in contrast, endoprotease asp n (ec 3.4.24.33) selectively cleaves aspartyl peptides but not the isoaspartyl counterparts. as a consequence, isoaspartyl peptides can be differentiated from those containing asp and also enriched by asp n digestion. subsequently, the existence and site of isoaspartate can be confirmed by electron transfer dissociation (etd) mass spectrometry. as little as 0.5 % of isoasp was detected in synthetic beta amyloid and cytochrome c peptides, even though both were initially assumed to be free of isoasp. taken together, our approach should expedite the unbiased discovery of isoasp.",0.31186440677966104,0.013651877133105802,0.18318806851941674
"It should be stressed that heating at 90 C was utilized to generate sufficient amount of modified peptide for the MS/MS analysis using the AB4700 instrument. Peaks at m/z=674.0 (3+) and 1010.5 (2+) correspond to the fully digested product. It should be noted that since atriopeptide contains only a single pair of cysteines, the homodimer formation should, in theory, not occur before the digestion.",PMC2908508.json,"in this paper, we have examined two cysteine modifications resulting from sample preparation for protein characterization by ms: (1) a previously observed conversion of cysteine to dehydroalanine, now found in the case of disulfide mapping and (2) a novel modification corresponding to conversion of cysteine to alanine. using model peptides, the conversion of cysteine to dehydroalanine via elimination of a disulfide bond was seen to result from the conditions of typical tryptic digestion (37 c, ph 7.0 9.0) without disulfide reduction and alkylation.. furthermore, the surprising conversion of cysteine to alanine was shown to occur by heating cysteine containing peptides in the presence of a phosphine (tcep). the formation of alanine from cysteine, investigated by performing experiments in h2o or d2o, suggested a radical based desulfurization mechanism unrelated to elimination. importantly, an understanding of the mechanism and conditions favorable for cysteine desulfurization provides insight for the establishment of improved sample preparation procedures of protein analysis.",0.24778761061946905,0.02678571428571429,0.187902549768751
"The  helix model, proposed by Fred Cohen and coworkers , is based upon a threading analysis methodology developed earlier . The disulfide linkage and glycosylation would be retained outside of the stackable  helix core and the C terminal residues including  helices 2 and 3 would not be affected . The spiral protofibril model, proposed by DeMarco and Daggett, is fundamentally different from the  helical model.",PMC2674794.json,transmissible spongiform encephalopathies (tses or prion diseases) are a rare group of invariably fatal neurodegenerative disorders that affect humans and other mammals. tses are protein misfolding diseases that involve the accumulation of an abnormally aggregated form of the normal host prion protein. they are unique among protein misfolding disorders in that they are transmissible and have different strains of infectious agent that are associated with unique phenotypes in vivo. a wealth of biological and biophysical evidence now suggests that the molecular basis for prion diseases may be encoded by protein conformation. the purpose of this review is to provide an overview of the existing structural information for prion protein within the context of what is known about the biology of prion disease.,0.18478260869565216,0.01098901098901099,0.1585397893260065
"(B) Plasma TIMP1, p=NS between all groups. The mean plasma concentration of each marker is shown below each graph. ELISA= Enzyme Linked Immunosorbant Assay .",PMC5898983.json,"it is assumed that platelets in diseased conditions share similar properties to platelets in healthy conditions, though this has never been examined in detail for myocardial infarction (m.i.). we examined platelets from patients with st segment elevation myocardial infarction (stemi) and non st segment elevation myocardial infarction (nstemi) compared to platelets from healthy volunteers in order to evaluate for differences in platelet phenotype and function. platelet activation was examined and post receptor signal transduction pathways were assessed. platelet derived plasma biomarkers were evaluated by receiver operator characteristic (roc) analyses. maximum platelet activation through the thromboxane receptor was greater in stemi compared to nstemi but less through par1. extracellular signal related kinase (erk5) activation which can activate platelets was increased in platelets from subjects with stemi and especially in platelets from patients with nstemi. matrix metalloproteinase (mmp9) protein content and enzymatic activity were several fold greater in platelets with m.i. compared to control. mean plasma mmp9 concentration in patients with m.i. distinguished between stemi and nstemi (auc 75% [c.i. 6091], p=0.006) which was superior to troponin t (auc 66% [c.i. 4885, p=0.08), predicting stemi with sensitivity 80% (95% c.i. 5694), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p<0.0001), and nstemi with sensitivity 50% (c.i. 2770), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p=0.03). platelets from patients with stemi and nstemi show differences in platelet surface receptor activation and post receptor signal transduction, suggesting the healthy platelet phenotype in which anti platelet agents are often evaluated in preclinical studies is different from platelets in patients with m.i.",0.05960264900662251,0.006666666666666666,0.07230807963863464
