first_three,articles,references,first_three_rouge-1,first_three_rouge-2,first_three_rouge-l
"The average age of the world population is on the rise. By the year 2050, an estimated 21.1% (>2 billion) of the worlds population will be over the age of 60 . As the population grows older, age related diseases such as cognitive impairment present huge challenges to society .Two cohorts of participants were simultaneously and independently recruited from the same community. Printed leaflets, brochures, and community recruitment stations were used to recruit participants. In one cohort, participants were recruited and randomized to the Tai Chi Chuan or control group.102 older adults were recruited for this study. Of the 90 participants who passed screening and finished baseline scans, 62 (21 in the Tai Chi Chuan group, 16 in the Baduanjin group, 25 in the control group) completed all study procedures. Four participants dropped out of the Tai Chi Chuan group (1 due to movement, 1 due to contraindications to the MRI scan, 2 due to scheduling conflicts).",PMC5659386.json,"the aim of this study is to investigate and compare how 12 weeks of tai chi chuan and baduanjin exercise can modulate brain structure and memory function in older adults. magnetic resonance imaging(mri) and memory function measurements (wechsler memory scale chinese revised, wms cr)were applied at both the beginning and end of the study. results showed that both tai chi chuan and baduanjin could significantly increase grey matter volume (gmv) in the insula, medial temporal lobe (mtl), and putamen after 12 weeks of exercise. no significant differences were observed in grey matter volume (gmv) between the tai chi chuan and baduanjin groups. we also found that compared to healthy controls, tai chi chuan and baduanjin significantly improved visual reproduction subscores on the wms cr. baduanjin also improved mental control, recognition, touch and comprehension memory subscores of the wms cr compared to the control group. memory quotient (mq)and visual reproduction subscores were both associated with gmv increases in the putamen and hippocampus. our results demonstrate the potential of tai chi chuan and baduanjin exercise for the prevention of memory deficits in older adults.",0.32069970845481055,0.10557184750733137,0.24694034039489607
"The development of sepsis creates a substantial health care burden and limited epidemiologic information exists with regard to postoperative sepsis. Martin et al. demonstrated that the incidence of sepsis and the number of sepsis related deaths are increasing, although the overall mortality rate among patients with sepsis is declining. The National Healthcare Quality Reports estimated 11.6 cases of post operative sepsis per 1,000 elective surgery discharges with hospital length of stay longer than 3 days.The Nationwide Inpatient Sample (NIS) was queried for the years 2002 2006. This database was developed as part of the Healthcare Cost and Utilization Project (HCUP) and sponsored by the Agency for Healthcare Research and Quality (AHRQ). Being the largest all payer hospital database in the United States it contains information about all hospitalizations from more than 1,000 acute care hospitals representing a 20% weighted probability sample of all US hospitals.An estimate of 6,512,921 elective surgical cases met the eligibility criteria. The sociodemographic characteristics of the whole study cohort are displayed in . The majority of the patients (51.4%) were 65 years and above, female (P<0.0002), and white (82.1%).",PMC2951484.json,"objectives to evaluate the incidence of postoperative sepsis after elective procedures, to define surgical procedures with the greatest risk for developing sepsis, and to evaluate patient and hospital confounders background data the development of sepsis after elective surgical procedures imposes a significant clinical and resource utilization burden in the united states. we evaluated the development of sepsis after elective procedures in a nationally representative patient cohort and assessed the impact of sociodemographic and hospital characteristics on the development of postoperative sepsis. methods the nationwide inpatient sample was queried between 2002 2006 and patients developing sepsis after elective procedures were identified utilizing the patient safety indicator postoperative sepsis (psi 13). case mixadjusted rates were calculated by using a multivariate logistic regression model for sepsis risk and an indirect standardization method. results 6,512,921 weighted elective surgical cases met the inclusion criteria and 78,669 cases (1.21%) developed postoperative sepsis. case mix adjustment for age, race, gender, hospital bed size, hospital location, hospital teaching status, and patient income demonstrated esophageal, pancreatic, and gastric procedures represented the greatest risk for the development of postoperative sepsis. thoracic, adrenal, and hepatic operations accounted for the greatest mortality rates if sepsis developed. increasing age, blacks, hispanics, and men were more likely to develop sepsis. decreased median household income, larger hospital bed size, urban hospital location, and non teaching status were associated with greater rates of postoperative sepsis. conclusions the development of postoperative sepsis is multifactorial and procedures most likely to develop sepsis did not demonstrate the greatest mortality after sepsis developed. factors associated with the development of sepsis included race, age, hospital size, hospital location, and patient income. further evaluation of high risk procedures, populations, and environments may assist in reducing this costly complication.",0.4182194616977225,0.11226611226611227,0.2609148083067019
"Withdrawal from nicotine precipitates neurocognitive deficits such as impaired working memory . Working memory is a limited capacity system responsible for active maintenance and manipulation of information, and is a component of a wide range of cognitive processes . Of relevance to nicotine dependence, working memory facilitates top down executive control and behavioral inhibition through active maintenance of task related goals .23496760 The neuroimaging experiment used a within subject design with two BOLD fMRI sessions in counterbalanced order: (1) smoking as usual (<45 minutes between last cigarette and BOLD imaging) and (2) 24 hours abstinent. The 24 hour time frame was selected because most relapses to smoking occur during this period . Sessions were scheduled at the same time of day (+/ 3 hours) 1 3 weeks apart; subjects were required to complete both scanning sessions prior to beginning a six week smoking cessation program involving behavioral counseling.In the largest sample of adult smokers studied to date for nicotine abstinence effects on working memory in an fMRI study, we report poorer performance and decreased brain activation during abstinence across regions comprising a task related working memory circuit . The extent of reduction in BOLD signal in the MF/CG mediated the effect of abstinence on accuracy but not response time. Seed based connectivity between the MF/CG and other regions in the task network was also reduced during abstinence compared to smoking.",PMC3701751.json,"nicotine withdrawal is associated with subtle working memory deficits that predict subsequent relapse. we examined the neural substrates underlying these processes in treatment seeking smokers, and explored the moderating influence of age on abstinence induced alterations in brain activity and performance. sixty three smokers participated in two blood oxygen level dependent (bold) functional magnetic resonance imaging (fmri) scans while performing a visual n back task on two separate occasions: smoking as usual and after hours of biochemically confirmed abstinence (order counterbalanced). abstinence (versus smoking) led to reduced accuracy, slower median correct response time, and reduced bold signal change in the a priori regions of interest (rois): medial frontal/cingulate gyrus and right and left dorsolateral prefrontal cortex. significant age x session effects were found for bold signal change in all three regions, as well as for withdrawal and craving; for all measures, abstinence effects were attenuated in smokers aged >50 years compared to those < years old. these results suggest that abstinence effects on neurocognitive function may be more pronounced for younger smokers, and may indicate a new avenue for research exploring mechanisms underlying age differences in smoking cessation success.",0.38369304556354916,0.05301204819277109,0.19888881815150572
"When a brief stimulus repeats periodically on a short time scale, its repetition can generate perceptual experiences known as beats. Although the experience of a beat is most commonly associated with repetition of musical sounds, a comparable experience can also be reliably generated by repeated presentation of brief visual stimuli (; ; ). However, beat perception with modalities other than vision and audition has attracted little attention.To determine whether subjects used optimal criteria as defined by , we tested the proposition that the error rate for 3 Hz stimuli [Pr(fast | slow stimulus)] and the error rate for 6 Hz stimuli [Pr(slow | fast stimulus)] would be sufficiently similar within each noise level as to be reasonably considered equivalent . Using equivalence bounds of (0.0768, 0.0768), calculated with n = 23 subjects at 80% power and  = 0.05, Two One Sided Tests (TOST) for equivalence were significant in all noise levels at  = 0.05 [0% noise: t(22) = 1.93, p = 0.034; 20% noise: t(22) = 2.52, p = 0.01; 40% noise: t(22) = 2.88, p = 0.004], allowing us to conclude that the observed difference between proportions of the two types of errors was statistically equivalent to zero. depicts these results as mean difference values (black squares) in each noise level, with 90% TOST confidence intervals falling within the established equivalence bounds.3.1. The preceding sections expanded a basic examination of accuracy and response time results by deploying three different, but complementary analytic approaches. As expected, the multiple analytic approaches produced a variety of findings.",PMC6990458.json,"beats are among the basic units of perceptual experience. produced by regular, intermittent stimulation, beats are most commonly associated with audition, but the experience of a beat can result from stimulation in other modalities as well. we studied the robustness of visual, vibrotactile, and bimodal signals as sources of beat perception. subjects attempted to discriminate between pulse trains delivered at hz or at hz. to investigate signal robustness, we intentionally degraded signals on two thirds of the trials using temporal domain noise. on these trials, inter pulse intervals (ipis) were stochastic, perturbed independently from the nominal ipi by random samples from zero mean gaussian distributions with different variances. these perturbations produced directional changes in the ipis, which either increased or decreased the likelihood of confusing the two pulse rates. in addition to affording an assay of signal robustness, this paradigm made it possible to gauge how subjects judgments were influenced by successive ipis. logistic regression revealed a strong primacy effect: subjects decisions were disproportionately influenced by a trials initial ipis. response times and parameter estimates from drift diffusion modeling showed that information accumulates more rapidly with bimodal stimulation than with either unimodal stimulus alone. analysis of error rates within each condition suggested consistently optimal decision making, even with increased ipi variability. finally, beat information delivered by vibrotactile signals proved just as robust as information conveyed by visual signals, confirming vibrotactile stimulations potential as a communication channel.",0.3691683569979716,0.06109979633401222,0.20127634059307878
"Human and mouse studies have proven that high levels of cholesterol rich remnants cause atherosclerosis, but the relevance of triglyceride rich lipoproteins (TRLs) to atherogenesis remains controversial. In part, this controversy stems from the fact that elevated levels of TRLs and remnants often coexist . Humans with chylomicronemia have severe hypertriglyceridemia but low levels of cholesterol rich remnants.Gpihbp1/ mice (>90% C57BL/6) were housed in a barrier facility and fed a 4.5% fat chow diet. We also bred apo B48only and apo B100only Gpihbp1/ mice (Gpihbp1/ Apob48/48, Gpihbp1/ Apob100/100). All experiments were approved by the Animal Research Committee .GPIHBP1 deficient mice develop severe chylomicronemia as a result of defective lipolysis of triglyceride rich lipoproteins. In this study, we address two timely and important issues. First, we show that mice with chylomicronemia develop spontaneous atherosclerosis, despite the fact that most of the lipids in these mice are found in large lipoproteinslipoproteins that are often considered to be nonatherogenic.",PMC2796285.json,"objective the risk of atherosclerosis in the setting of chylomicronemia has been a topic of debate. in this study, we examined susceptibility to atherosclerosis in gpihbp1 deficient mice (gpihbp1/), which manifest severe chylomicronemia as a result of defective lipolysis. methods and results gpihbp1/ mice on a chow diet have plasma triglyceride and cholesterol levels of 209 and 27 mg/dl, respectively. even though nearly all of the lipids were contained in large lipoproteins (50135 nm), the mice developed progressive aortic atherosclerosis. in other experiments, we found that both gpihbp1 deficient apo b48only mice and gpihbp1 deficient apo b100only mice manifest severe chylomicronemia. thus, gpihbp1 is required for the processing of both apo b48 and apo b100containing lipoproteins. conclusions chylomicronemia causes atherosclerosis in mice. also, we found that gpihbp1 is required for the lipolytic processing of both apo b48 and apo b100containing lipoproteins.",0.5099337748344371,0.16,0.2816575481159608
"Although irritable bowel syndrome (IBS) is a multi symptom disorder, abdominal pain is its defining characteristic and is a predominant feature of the IBS illness experience.  Unlike other IBS symptoms, such as bloating or abnormalities in stool frequency or form, abdominal pain independently drives health related quality of life (HRQOL) decrements in IBS and is the principal driver of patient reported symptom severity. In a recent study of 755 IBS patients in a University setting, we found that abdominal pain, as measured using a 21 point numeric rating scale (NRS), was the most powerful predictor of patient perceived severity among 25 tested clinical factors.The outcome measure of this study was a 10 point abdominal pain numeric rating scale (NRS) with the following directions: How much abdominal pain have you felt today, on a scale from 1 (none) to 10 (very severe). This is a modification of the 11 point NRS supported by the Initiative on Methods, Measurement, and Pain Assessment in Clinical Trials (IMMPACT) for the non IBS pain literature, and as further evaluated in a meta analysis by Farrar and colleagues. The FDA has recently proposed use of a similar 11 point NRS for IBS drug trials using a scale from 0 (none) to 10 (worst possible pain) to describe the worst abdominal pain episode from the past 24 hours. The FDA suggests collecting daily abdominal pain NRS data for 7 consecutive days and then calculating a 7 day mean NRS to establish the end of study pain rating.10.1111/j.1365 2036.2009.04144.x Figure 1Proportion of Patients Achieving a Minimal Clinically Important Difference (MCID) for Key Variables Stratified by Pain Numeric Rating Scale (NRS) Responder Status. Each set of bars depicts the results of an individual longitudinal 22 table, and demonstrates the difference in MCID achievement between NRS responders vs. non responders over the 3 month study period. For example, 46% of NRS responders achieved an MCID in distension, whereas only 15% of NRS non responders achieved an MCID in distension (31% difference in response; p=0.002).",PMC2793273.json,"background controversy exists about how to effectively measure patient reported outcomes in ibs clinical trials. pain numeric rating scales (nrs) are widely used in the non ibs pain literature. the fda has proposed using the nrs in ibs. aim to test the psychometrics of an abdominal pain nrs in ibs. methods we analyzed data from a longitudinal cohort of rome iii ibs subjects. at entry, subjects completed a 10 point nrs, bowel symptoms, ibs severity measurements (ibsss, fbdsi), health related quality of life indices (ibs qol, eq5d), and the worker productivity activity index (wpai). we repeated assessments at months along with a response scale to calculate the minimal clinically important difference (mcid). results there were subjects (82% women; age=4215) at baseline and at months. the nrs correlated cross sectionally with ibsss (r=0.60; p<0.0011), fbdsi (r=0.49; p<0.0001), ibs qol (r=0.43; p<0.0001), eq5d (r=0.48; p<0.0001), presenteeism (r=0.39; p<0.0001), absenteeism (r=0.17; p=0.04), and distension (r=0.46; p<0.0001), but not stool frequency or form. the mcid was 2.2 points, correlating with a 29.5% reduction over time. conclusions an abdominal pain nrs exhibits excellent validity and can be readily interpreted with an mcid in patients with ibs. these data support the use of the nrs in ibs clinical trials.",0.40830449826989623,0.12500000000000003,0.2323605123685384
"Ubiquitous in biological systems and protein pharmaceuticals, isoaspartic acid (isoAsp, isoD or  Asp) in peptides and proteins arises from either deamidation of asparagine (Asn) or isomerization of aspartic acid (Asp) via a common succinimide intermediate, as depicted in .  Formation of isoAsp inserts an extra methylene group into the protein backbone, resulting in a beta peptide linkage.  As a consequence, a kink in the protein conformation is generated, potentially leading to altered functions of the protein.a ubiquitous yet underappreciated protein post translational modification, isoaspartic acid (isoasp, isod or asp), generated via the deamidation of asparagine or isomerization of aspartic acid in proteins, plays a diverse and crucial role in ageing, as well as autoimmune, cancer, neurodegeneration and other diseases. in addition, formation of isoasp is a major concern in protein pharmaceuticals, as it may lead to aggregation or activity loss. the scope and significance of isoasp have, up to now, not been fully explored, as an unbiased screening of isoasp at low abundance remains challenging.This paper presents a general workflow for isoAsp analysis that comprises the following steps. First, a sample, e.g., tryptic digest, is treated with endoprotease Asp N that cleaves Asp. Second, the resulting mixture and the original sample are analyzed by LC MS to determine all peptides which sequences contain Asp but are resistant to Asp N cleavage.",PMC2936825.json,"a ubiquitous yet underappreciated protein post translational modification, isoaspartic acid (isoasp, isod or asp), generated via the deamidation of asparagine or isomerization of aspartic acid in proteins, plays a diverse and crucial role in ageing, as well as autoimmune, cancer, neurodegeneration and other diseases. in addition, formation of isoasp is a major concern in protein pharmaceuticals, as it may lead to aggregation or activity loss. the scope and significance of isoasp have, up to now, not been fully explored, as an unbiased screening of isoasp at low abundance remains challenging. this difficulty is due to the subtle difference in the physicochemical properties between isoasp and asp, e.g., identical mass. in contrast, endoprotease asp n (ec 3.4.24.33) selectively cleaves aspartyl peptides but not the isoaspartyl counterparts. as a consequence, isoaspartyl peptides can be differentiated from those containing asp and also enriched by asp n digestion. subsequently, the existence and site of isoaspartate can be confirmed by electron transfer dissociation (etd) mass spectrometry. as little as 0.5 % of isoasp was detected in synthetic beta amyloid and cytochrome c peptides, even though both were initially assumed to be free of isoasp. taken together, our approach should expedite the unbiased discovery of isoasp.",0.6370023419203747,0.4658823529411764,0.5492321600739458
"Cysteine residues have highly reactive thiol groups and are thus prone to modifications, including oxidation, nitrosylation, or glutathionylation. For example, disulfide bond formation, due to the oxidation of pairs of cysteines, is critical for protein folding and maintaining three dimensional structures.  Additionally, disulfide heterogeneity, including formation of non native disulfide bonds from disulfide scrambling, as well as the occurrence of lanthionines or trisulfide bridges, is of concern in the production and shelf life of protein reagents and pharmaceuticals.20049891 Since the  elimination reaction requires disulfide bridges, reduction of disulfides should prevent cysteine desulfurization. As can be seen from , no formation of dehydroalanine was detected under commonly applied experimental conditions for protein reduction, i.e. DTT at 60 C for 30 minutes. TCEP, a water soluble phosphine, is often used as an alternative reducing reagent for reduction of disulfide bonds; but unlike DTT, the reduction by TCEP should be effective at room temperature.The goal of this paper was to examine cysteine modifications induced during the sample preparation for protein characterization, specifically the conversion of cysteine to dehydroalanine for example during disulfide mapping; and cysteine to alanine when heating with TCEP. To study these modifications, atriopeptin, a small 23 amino acid peptide was first selected as a model compound. Atriopeptin contains only a single disulfide bond, and thus, after tryptic digestion without reduction, two peptides linked by a disulfide bond are formed, with minimal potential interference of the non cysteine peptides, see .",PMC2908508.json,"in this paper, we have examined two cysteine modifications resulting from sample preparation for protein characterization by ms: (1) a previously observed conversion of cysteine to dehydroalanine, now found in the case of disulfide mapping and (2) a novel modification corresponding to conversion of cysteine to alanine. using model peptides, the conversion of cysteine to dehydroalanine via elimination of a disulfide bond was seen to result from the conditions of typical tryptic digestion (37 c, ph 7.0 9.0) without disulfide reduction and alkylation.. furthermore, the surprising conversion of cysteine to alanine was shown to occur by heating cysteine containing peptides in the presence of a phosphine (tcep). the formation of alanine from cysteine, investigated by performing experiments in h2o or d2o, suggested a radical based desulfurization mechanism unrelated to elimination. importantly, an understanding of the mechanism and conditions favorable for cysteine desulfurization provides insight for the establishment of improved sample preparation procedures of protein analysis.",0.4623115577889447,0.12626262626262627,0.24130496753269803
"The transmissible spongiform encephalopathies (TSEs) are a group of rare neurodegenerative diseases that include scrapie in sheep, chronic wasting disease (CWD) in deer and elk, and bovine spongiform encephalopathy (BSE) in cattle. There are three categories of TSE disease in humans: 1) sporadic, the most common form of which is Creutzfeldt Jakob disease (CJD),Current opinion in structural biology Amyloid like r PrP res fibrils made in our laboratory can be PK digested resulting in removal of the N terminus and generation of a C terminal protease resistant core. Panel A) shows a representative example of amyloid like fibrils of hamster r PrP sen (residues 23231) grown at 37 C with 200rpm in denaturing buffer. B) SDS PAGE and staining of the PK treated fibrils with Coomassie blue shows two bands of approximately 8 and 10 kDa, neither of which react with monoclonal antibody 3F4, which is specific for residues 109112, suggesting that the cleavage site is C terminal to this epitope.High resolution structures of PrP sen are well established and have provided useful information regarding the influence of various regions in the PrP sen to PrP res conversion process. In particular, a key loop region composed of residues ~165171 displays structural variations between species and is thought to influence species specific intermolecular contacts, perhaps acting as a nucleation site in the conversion process. However, there are no corresponding structures of PrP res due to problems with insolubility and heterogeneity of purified samples.",PMC2674794.json,transmissible spongiform encephalopathies (tses or prion diseases) are a rare group of invariably fatal neurodegenerative disorders that affect humans and other mammals. tses are protein misfolding diseases that involve the accumulation of an abnormally aggregated form of the normal host prion protein. they are unique among protein misfolding disorders in that they are transmissible and have different strains of infectious agent that are associated with unique phenotypes in vivo. a wealth of biological and biophysical evidence now suggests that the molecular basis for prion diseases may be encoded by protein conformation. the purpose of this review is to provide an overview of the existing structural information for prion protein within the context of what is known about the biology of prion disease.,0.30601092896174864,0.07142857142857142,0.25397716504669954
"More than fifty years ago, it was discovered that aspirin inhibits platelet activation by preventing platelet thromboxane synthesis and adenosine diphosphate (ADP) secretion  mechanisms which amplify platelet activation via surface receptors []. Based upon those discoveries, dual anti platelet therapy (DAPT), consisting of aspirin and a P2Y12 receptor antagonist are the standard of care in the treatment of STEMI and NSTEMI [] . Failure of platelet antagonists to have their anticipated effect in some patients has been attributed to single nucleotide polymorphisms (SNPs) in genes encoding proteins responsible for metabolism of P2Y12 antagonists [, ], for cyclooxygenase enzymatic activity, in aspirin transporters, and in aspirin absorption [].Blood was taken from patients immediately upon presentation with STEMI or NSTEMI and compared to healthy volunteer subjects. Plasma was isolated and biomarker concentration was evaluated by ELISA. Patients with STEMI or NSTEMI were given 325 mg aspirin at least 30 minutes prior to blood draw.To our knowledge, this the first investigation of platelet receptor function and post receptor signaling comparing patients presenting with STEMI to NSTEMI immediately upon arrival following only aspirin monotherapy and prior to percutaneous instrumentation. Platelets from patients presenting with STEMI were found to be different from patients with NSTEMI, with residual platelet activation observed following aspirin treatment in both groups, but with different platelet receptor agonist sensitivities and with different post receptor signaling properties. Platelets from patients with STEMI and NSTEMI were also found to be phenotypically different from platelets in healthy volunteers with STEMI platelets favoring the thromboxane receptor signaling pathway and NSTEMI platelets favoring the PAR1 pathway.",PMC5898983.json,"it is assumed that platelets in diseased conditions share similar properties to platelets in healthy conditions, though this has never been examined in detail for myocardial infarction (m.i.). we examined platelets from patients with st segment elevation myocardial infarction (stemi) and non st segment elevation myocardial infarction (nstemi) compared to platelets from healthy volunteers in order to evaluate for differences in platelet phenotype and function. platelet activation was examined and post receptor signal transduction pathways were assessed. platelet derived plasma biomarkers were evaluated by receiver operator characteristic (roc) analyses. maximum platelet activation through the thromboxane receptor was greater in stemi compared to nstemi but less through par1. extracellular signal related kinase (erk5) activation which can activate platelets was increased in platelets from subjects with stemi and especially in platelets from patients with nstemi. matrix metalloproteinase (mmp9) protein content and enzymatic activity were several fold greater in platelets with m.i. compared to control. mean plasma mmp9 concentration in patients with m.i. distinguished between stemi and nstemi (auc 75% [c.i. 6091], p=0.006) which was superior to troponin t (auc 66% [c.i. 4885, p=0.08), predicting stemi with sensitivity 80% (95% c.i. 5694), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p<0.0001), and nstemi with sensitivity 50% (c.i. 2770), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p=0.03). platelets from patients with stemi and nstemi show differences in platelet surface receptor activation and post receptor signal transduction, suggesting the healthy platelet phenotype in which anti platelet agents are often evaluated in preclinical studies is different from platelets in patients with m.i.",0.4615384615384615,0.1393596986817326,0.2725560624587991
