iter	Logloss
0	0.6899824617
1	0.6869390808
2	0.6839163145
3	0.6809302191
4	0.6779241131
5	0.6750615912
6	0.6722237814
7	0.669497456
8	0.6667828559
9	0.6641692262
10	0.6616881693
11	0.6592276067
12	0.6567957336
13	0.6543925599
14	0.6520443827
15	0.6497495502
16	0.6475958126
17	0.645425221
18	0.6432918477
19	0.6412790114
20	0.6392442826
21	0.637266846
22	0.6352906907
23	0.6334305011
24	0.6315414418
25	0.6297519882
26	0.6279955117
27	0.6262406636
28	0.6245795584
29	0.6229309794
30	0.6212934083
31	0.6196883373
32	0.618182071
33	0.6166531882
34	0.6151833359
35	0.6137652602
36	0.6123372709
37	0.6109747689
38	0.6096626686
39	0.6083122524
40	0.6070440939
41	0.6058063733
42	0.6045681355
43	0.603380226
44	0.6021778784
45	0.6010439911
46	0.5999445157
47	0.5988274156
48	0.5977638438
49	0.5967473436
50	0.595722605
51	0.59470465
52	0.5937081804
53	0.5927588258
54	0.5918255111
55	0.5909080726
56	0.5900402751
57	0.5891996988
58	0.5883507307
59	0.5875101044
60	0.5866711465
61	0.5858684725
62	0.5850702731
63	0.584284453
64	0.5835526785
65	0.5828084579
66	0.5820843912
67	0.581400329
68	0.5807007842
69	0.5800682282
70	0.5794060651
71	0.5787514131
72	0.5781100513
73	0.5775032617
74	0.5768969293
75	0.5762911575
76	0.5756822791
77	0.5751061143
78	0.574545739
79	0.574023643
80	0.5735181775
81	0.57299788
82	0.5725166093
83	0.5720300799
84	0.5715386254
85	0.5710784596
86	0.570619652
87	0.5701706477
88	0.5696979792
89	0.5692577439
90	0.5688284932
91	0.5683995496
92	0.5679947073
93	0.5675767716
94	0.5671571075
95	0.5667703571
96	0.5663946781
97	0.566014935
98	0.5656269367
99	0.5652700703
