iter	Passed	Remaining
0	188	18673
1	378	18523
2	574	18575
3	762	18299
4	953	18110
5	1147	17977
6	1323	17582
7	1512	17396
8	1695	17142
9	1889	17007
10	2085	16870
11	2266	16623
12	2457	16447
13	2650	16281
14	2840	16098
15	3027	15896
16	3232	15783
17	3428	15620
18	3623	15448
19	3815	15261
20	4005	15066
21	4196	14878
22	4382	14670
23	4580	14504
24	4767	14301
25	4948	14082
26	5120	13844
27	5311	13657
28	5501	13468
29	5697	13293
30	5886	13102
31	6077	12914
32	6269	12728
33	6443	12508
34	6641	12335
35	6838	12156
36	7030	11971
37	7219	11778
38	7408	11587
39	7597	11396
40	7784	11202
41	7972	11009
42	8166	10825
43	8361	10642
44	8540	10438
45	8722	10239
46	8913	10051
47	9104	9863
48	9300	9680
49	9503	9503
50	9691	9311
51	9883	9123
52	10072	8931
53	10264	8744
54	10441	8543
55	10645	8364
56	10844	8180
57	11028	7986
58	11226	7801
59	11420	7613
60	11610	7423
61	11805	7235
62	12000	7047
63	12183	6853
64	12375	6663
65	12550	6465
66	12747	6278
67	12949	6093
68	13144	5905
69	13332	5714
70	13530	5526
71	13716	5334
72	13912	5145
73	14104	4955
74	14308	4769
75	14507	4581
76	14713	4394
77	14890	4199
78	15064	4004
79	15253	3813
80	15442	3622
81	15619	3428
82	15821	3240
83	16009	3049
84	16184	2856
85	16360	2663
86	16547	2472
87	16738	2282
88	16937	2093
89	17119	1902
90	17290	1710
91	17482	1520
92	17673	1330
93	17866	1140
94	18073	951
95	18260	760
96	18438	570
97	18614	379
98	18805	189
99	19008	0
