min_rouge,articles,references,min_rouge_rouge-1,min_rouge_rouge-2,min_rouge_rouge-l
"The average age of the world population is on the rise. By the year 2050, an estimated 21.1% (>2 billion) of the worlds population will be over the age of 60 . As a result, alternative low cost, non pharmacological methods are necessary and arising as promising treatments for preventing cognitive decline.Two cohorts of participants were simultaneously and independently recruited from the same community. Printed leaflets, brochures, and community recruitment stations were used to recruit participants. Age (year), gender, and education (year) were also included in the model as covariates.The T1 weighted structural images were acquired with a Magnetization prepared rapid gradient echo sequence (MPRAGE). The scanning parameters were as follows: Echo time (TE) = min, flip angle = 15 degree, slice thickness= 1mm, field of view=240 mm, 164 contiguous slices . Longer trials with a larger sample size are needed to test this hypothesis .",PMC5659386.json,"the aim of this study is to investigate and compare how 12 weeks of tai chi chuan and baduanjin exercise can modulate brain structure and memory function in older adults. magnetic resonance imaging(mri) and memory function measurements (wechsler memory scale chinese revised, wms cr)were applied at both the beginning and end of the study. results showed that both tai chi chuan and baduanjin could significantly increase grey matter volume (gmv) in the insula, medial temporal lobe (mtl), and putamen after 12 weeks of exercise. no significant differences were observed in grey matter volume (gmv) between the tai chi chuan and baduanjin groups. we also found that compared to healthy controls, tai chi chuan and baduanjin significantly improved visual reproduction subscores on the wms cr. baduanjin also improved mental control, recognition, touch and comprehension memory subscores of the wms cr compared to the control group. memory quotient (mq)and visual reproduction subscores were both associated with gmv increases in the putamen and hippocampus. our results demonstrate the potential of tai chi chuan and baduanjin exercise for the prevention of memory deficits in older adults.",0.21818181818181817,0.024390243902439025,0.18673554816773308
"The National Healthcare Quality Reports estimated 11.6 cases of post operative sepsis per 1,000 elective surgery discharges with hospital length of stay longer than 3 days. Sepsis remains one of the leading causes of death in the United States and surgical patients account for approximately one third of all sepsis cases. As payers move toward performance based reimbursement, evaluation of hospital performance will become more important and studies focusing on higher risk surgical procedures and best practices to prevent possible complications may offer future targets for intervention.This database was developed as part of the Healthcare Cost and Utilization Project (HCUP) and sponsored by the Agency for Healthcare Research and Quality (AHRQ). The most current NIS data includes approximately 8 million hospitals admissions annually and, utilizing the weighting function methodology provided by HCUP, allows for the computation of national estimates with variances for specific variables. All data were analyzed and results were reported utilizing the weighting methodology included with the NIS and as previously reported in other epidemiologic outcomes studies in surgery.The majority of the patients (51.4%) were 65 years and above, female (P<0.0002), and white (82.1%). More than half of all patients were insured by Medicare (51.7%) and 37.9% were privately insured . Observations with post operative sepsis had the following ICD 9 CM diagnosis codes in any secondary position (suggesting a complication from the surgical procedure) for the diagnosis codes: Streptococcal septicemia (038.0), Staphylococcal septicemia unspecified (038.10), Staphylococcus aureus septicemia (038.11), Other Staphylococcal septicemia (038.19), Pneumococcal septicemia (038.2), Septicemia due to anaerobes (038.3), Gram negative organism unspecified (038.40), Hemophilus influenzae (038.41), Escherichia coli (038.42), Pseudomonas (038.43), Serratia (038.44), Septicemia due to other Gram negative organisms (038.49), Other specified septicemias (038.8), Unspecified septicemia (038.9), Septic Shock (785.52), Other shock without mention of trauma (785.59), Systemic inflammatory response syndrome due to infectious process without organ dysfunction (995.91), Systemic inflammatory response syndrome due to infectious process with organ dysfunction (995.92).",PMC2951484.json,"objectives to evaluate the incidence of postoperative sepsis after elective procedures, to define surgical procedures with the greatest risk for developing sepsis, and to evaluate patient and hospital confounders background data the development of sepsis after elective surgical procedures imposes a significant clinical and resource utilization burden in the united states. we evaluated the development of sepsis after elective procedures in a nationally representative patient cohort and assessed the impact of sociodemographic and hospital characteristics on the development of postoperative sepsis. methods the nationwide inpatient sample was queried between 2002 2006 and patients developing sepsis after elective procedures were identified utilizing the patient safety indicator postoperative sepsis (psi 13). case mixadjusted rates were calculated by using a multivariate logistic regression model for sepsis risk and an indirect standardization method. results 6,512,921 weighted elective surgical cases met the inclusion criteria and 78,669 cases (1.21%) developed postoperative sepsis. case mix adjustment for age, race, gender, hospital bed size, hospital location, hospital teaching status, and patient income demonstrated esophageal, pancreatic, and gastric procedures represented the greatest risk for the development of postoperative sepsis. thoracic, adrenal, and hepatic operations accounted for the greatest mortality rates if sepsis developed. increasing age, blacks, hispanics, and men were more likely to develop sepsis. decreased median household income, larger hospital bed size, urban hospital location, and non teaching status were associated with greater rates of postoperative sepsis. conclusions the development of postoperative sepsis is multifactorial and procedures most likely to develop sepsis did not demonstrate the greatest mortality after sepsis developed. factors associated with the development of sepsis included race, age, hospital size, hospital location, and patient income. further evaluation of high risk procedures, populations, and environments may assist in reducing this costly complication.",0.3149606299212599,0.04107424960505529,0.20001923353032106
"Quitting smoking engages these resources by requiring an individual to inhibit habitual, automated behaviors (such as lighting a cigarette) and maintain new goal oriented behaviors on a regular basis ; therefore, impairments in these systems have the potential to negatively impact smoking cessation attempts. However, there is some debate over the direction and interpretation of these changes in BOLD signal. This may be related to declining efficiency in cholinergic and dopaminergic systems during healthy aging .On the session days, those with a positive drug screen, a breath alcohol test >0.01, or a breath carbon monoxide (CO) test >9ppm (abstinent session only) were excluded. All subject imaging sessions were acquired on the same scanner (Siemens Tim Trio 3 Tesla, Erlangen, Germany; 32 channel head coil) using the same imaging sequences. BOLD fMRI was acquired using a whole brain, single shot, multi slice, gradient echo (GE) echoplanar (EPI) sequence of 308 volumes with the following parameters: TR/TE=3000/30 ms, FOV=448x448 mm, matrix=64X64, flip angle=90, slices=40, slice thickness/gap=3mm/0mm and effective voxel resolution=3.4  3.4  3.4.Another potential limitation is our exclusion of individuals with comorbid Axis I psychiatric disorders. Female participants completed a urine pregnancy test. Each condition was presented three times in 20 trial blocks (33% targets; 60 s).",PMC3701751.json,"nicotine withdrawal is associated with subtle working memory deficits that predict subsequent relapse. we examined the neural substrates underlying these processes in treatment seeking smokers, and explored the moderating influence of age on abstinence induced alterations in brain activity and performance. sixty three smokers participated in two blood oxygen level dependent (bold) functional magnetic resonance imaging (fmri) scans while performing a visual n back task on two separate occasions: smoking as usual and after hours of biochemically confirmed abstinence (order counterbalanced). abstinence (versus smoking) led to reduced accuracy, slower median correct response time, and reduced bold signal change in the a priori regions of interest (rois): medial frontal/cingulate gyrus and right and left dorsolateral prefrontal cortex. significant age x session effects were found for bold signal change in all three regions, as well as for withdrawal and craving; for all measures, abstinence effects were attenuated in smokers aged >50 years compared to those < years old. these results suggest that abstinence effects on neurocognitive function may be more pronounced for younger smokers, and may indicate a new avenue for research exploring mechanisms underlying age differences in smoking cessation success.",0.25,0.019704433497536946,0.14443190265631964
"This neglect is somewhat surprising. After all, the human skin, a target for vibrotactile stimulation, is the largest of our sensory receptor surfaces, ~1.7 m2 in average adults . Measurements of visual detection or identification in the presence of noise have been used to quantify visions efficiency (Gold et al., 1999) and to identify the particular features that subjects use to perform a task .Using equivalence bounds of (0.0768, 0.0768), calculated with n = 23 subjects at 80% power and  = 0.05, Two One Sided Tests (TOST) for equivalence were significant in all noise levels at  = 0.05 [0% noise: t(22) = 1.93, p = 0.034; 20% noise: t(22) = 2.52, p = 0.01; 40% noise: t(22) = 2.88, p = 0.004], allowing us to conclude that the observed difference between proportions of the two types of errors was statistically equivalent to zero. 2.1. Experimental procedures were approved by Brandeis Universitys Institutional Review Board and were conducted in accordance with the Declaration of Helsinki.31648198 4.1. Additionally, alternative sequential sampling models may have been better suited for our task. At the average viewing distance, each Gabor subtended ~1.4, and had a peak luminance of 125 cd/m2 on a steady background luminance of 52 cd/m2.",PMC6990458.json,"beats are among the basic units of perceptual experience. produced by regular, intermittent stimulation, beats are most commonly associated with audition, but the experience of a beat can result from stimulation in other modalities as well. we studied the robustness of visual, vibrotactile, and bimodal signals as sources of beat perception. subjects attempted to discriminate between pulse trains delivered at hz or at hz. to investigate signal robustness, we intentionally degraded signals on two thirds of the trials using temporal domain noise. on these trials, inter pulse intervals (ipis) were stochastic, perturbed independently from the nominal ipi by random samples from zero mean gaussian distributions with different variances. these perturbations produced directional changes in the ipis, which either increased or decreased the likelihood of confusing the two pulse rates. in addition to affording an assay of signal robustness, this paradigm made it possible to gauge how subjects judgments were influenced by successive ipis. logistic regression revealed a strong primacy effect: subjects decisions were disproportionately influenced by a trials initial ipis. response times and parameter estimates from drift diffusion modeling showed that information accumulates more rapidly with bimodal stimulation than with either unimodal stimulus alone. analysis of error rates within each condition suggested consistently optimal decision making, even with increased ipi variability. finally, beat information delivered by vibrotactile signals proved just as robust as information conveyed by visual signals, confirming vibrotactile stimulations potential as a communication channel.",0.2583518930957684,0.026845637583892613,0.17121246158040657
"In part, this controversy stems from the fact that elevated levels of TRLs and remnants often coexist . Humans with chylomicronemia have severe hypertriglyceridemia but low levels of cholesterol rich remnants. Very recently, chylomicronemia has been observed in a young man with a homozygous missense mutation in GPIHBP1.Lipoprotein diameters were measured by laser light scattering. Western blots were performed as described. Macrophages were stained with a monoclonal antibody against CD68 (Serotec; 1:100) .While this hypothesis initially seemed attractive, it was incorrect. The lesions also stained strongly for macrophages . The lesions were small at 1112 months (median 500 m2/section) but were much larger at 1622 months (median 3000 m2/section) .",PMC2796285.json,"objective the risk of atherosclerosis in the setting of chylomicronemia has been a topic of debate. in this study, we examined susceptibility to atherosclerosis in gpihbp1 deficient mice (gpihbp1/), which manifest severe chylomicronemia as a result of defective lipolysis. methods and results gpihbp1/ mice on a chow diet have plasma triglyceride and cholesterol levels of 209 and 27 mg/dl, respectively. even though nearly all of the lipids were contained in large lipoproteins (50135 nm), the mice developed progressive aortic atherosclerosis. in other experiments, we found that both gpihbp1 deficient apo b48only mice and gpihbp1 deficient apo b100only mice manifest severe chylomicronemia. thus, gpihbp1 is required for the processing of both apo b48 and apo b100containing lipoproteins. conclusions chylomicronemia causes atherosclerosis in mice. also, we found that gpihbp1 is required for the lipolytic processing of both apo b48 and apo b100containing lipoproteins.",0.22134387351778653,0.03187250996015936,0.16935125583345523
"We specifically aimed to: 1) measure the baseline and longitudinal correlations between the single item NRS for pain and concurrent ratings of severity, bowel symptoms, HRQOL, and resource utilization; 2) compare NRS change scores in responders vs. non responders across a range of concurrently measured indices, andIn a clinical trial, patients must report some pain at baseline in order to justify measuring pain improvement over time  i.e. patients without baseline pain will, by definition, have no opportunity to improve. provides an overview of key baseline characteristics of the sample. The population was diverse across demographic characteristics, including race, education, and income.Generic Psychological HealthHospital Anxiety & Depression (HAD) questionnaireYesNoA 14 item measure of generalized anxiety and depression.Somatization Scale of the Brief Symptom Index (BSI)YesNoAn 8 item measure of somatization. Refer to for a description of all constructs and their abbreviations . We used SAS v9.1 for all analyses .",PMC2793273.json,"background controversy exists about how to effectively measure patient reported outcomes in ibs clinical trials. pain numeric rating scales (nrs) are widely used in the non ibs pain literature. the fda has proposed using the nrs in ibs. aim to test the psychometrics of an abdominal pain nrs in ibs. methods we analyzed data from a longitudinal cohort of rome iii ibs subjects. at entry, subjects completed a 10 point nrs, bowel symptoms, ibs severity measurements (ibsss, fbdsi), health related quality of life indices (ibs qol, eq5d), and the worker productivity activity index (wpai). we repeated assessments at months along with a response scale to calculate the minimal clinically important difference (mcid). results there were subjects (82% women; age=4215) at baseline and at months. the nrs correlated cross sectionally with ibsss (r=0.60; p<0.0011), fbdsi (r=0.49; p<0.0001), ibs qol (r=0.43; p<0.0001), eq5d (r=0.48; p<0.0001), presenteeism (r=0.39; p<0.0001), absenteeism (r=0.17; p=0.04), and distension (r=0.46; p<0.0001), but not stool frequency or form. the mcid was 2.2 points, correlating with a 29.5% reduction over time. conclusions an abdominal pain nrs exhibits excellent validity and can be readily interpreted with an mcid in patients with ibs. these data support the use of the nrs in ibs clinical trials.",0.2864583333333333,0.03664921465968587,0.17119168197369664
"Clearly, these results call for comprehensive in vivo studies, as in vivo modifications and activities of protein drugs ultimately determine their clinical outcome. We have previously extended this method by trapping the resulting methyl isoaspartate esters, which are intrinsically labile, with hydrazines and various tags, allowing affinity enrichment and orthogonal detection. If separation can be achieved, peak assignment is typically inferred from the elution order.As illustrated in , isoAsp introduces an extra methylene group into the peptide backbone and results in a beta peptide linkage, compared to a typical alpha peptide linkage rendered by Asp. Moreover, relative to peptide backbones, the stereochemistry of the chiral center next to the amide is inverted when Asp is converted into isoAsp, essentially generating a D amino acid from the L Asp as depicted in . It should be noted that cleavage at the N terminal side of glutamic acid (Glu11) in A1 16 was also observed, albeit less than 5 %.A linear gradient from 2 % to 40 % mobile phase B over 30 minutes was used to separate Lys C digest of A1 42 and isoA1 42. Similar results were obtained for the c6 and c6+57 ions, as well for the Cyt c peptide, see . Mark Mamula and Hester Doyle of Yale University.",PMC2936825.json,"a ubiquitous yet underappreciated protein post translational modification, isoaspartic acid (isoasp, isod or asp), generated via the deamidation of asparagine or isomerization of aspartic acid in proteins, plays a diverse and crucial role in ageing, as well as autoimmune, cancer, neurodegeneration and other diseases. in addition, formation of isoasp is a major concern in protein pharmaceuticals, as it may lead to aggregation or activity loss. the scope and significance of isoasp have, up to now, not been fully explored, as an unbiased screening of isoasp at low abundance remains challenging. this difficulty is due to the subtle difference in the physicochemical properties between isoasp and asp, e.g., identical mass. in contrast, endoprotease asp n (ec 3.4.24.33) selectively cleaves aspartyl peptides but not the isoaspartyl counterparts. as a consequence, isoaspartyl peptides can be differentiated from those containing asp and also enriched by asp n digestion. subsequently, the existence and site of isoaspartate can be confirmed by electron transfer dissociation (etd) mass spectrometry. as little as 0.5 % of isoasp was detected in synthetic beta amyloid and cytochrome c peptides, even though both were initially assumed to be free of isoasp. taken together, our approach should expedite the unbiased discovery of isoasp.",0.37288135593220334,0.024330900243309004,0.1891774643225037
"However, pepsin generates non specific cleavages, which increase the complexity of the digests. To locate the exact linkage positions of disulfides, ESI MS/MS in the negative mode has been suggested. Recently, electron capture dissociation (ECD) and electron transfer dissociation (ETD), have been reported to facilitate the identification of disulfide linkages .It should be stressed that heating at 90 C was utilized to generate sufficient amount of modified peptide for the MS/MS analysis using the AB4700 instrument. Peaks at m/z=674.0 (3+) and 1010.5 (2+) correspond to the fully digested product. It should be noted that since atriopeptide contains only a single pair of cysteines, the homodimer formation should, in theory, not occur before the digestion.To study these modifications, atriopeptin, a small 23 amino acid peptide was first selected as a model compound. None Separate stock solutions of atriopeptin, lysozyme and somatostatin (1 g/L) were prepared in deionized water and stored at  20 C. Lysozyme was digested with a 30:1 (w/w) substrate to enzyme ratio at 37 C for 4 hours.",PMC2908508.json,"in this paper, we have examined two cysteine modifications resulting from sample preparation for protein characterization by ms: (1) a previously observed conversion of cysteine to dehydroalanine, now found in the case of disulfide mapping and (2) a novel modification corresponding to conversion of cysteine to alanine. using model peptides, the conversion of cysteine to dehydroalanine via elimination of a disulfide bond was seen to result from the conditions of typical tryptic digestion (37 c, ph 7.0 9.0) without disulfide reduction and alkylation.. furthermore, the surprising conversion of cysteine to alanine was shown to occur by heating cysteine containing peptides in the presence of a phosphine (tcep). the formation of alanine from cysteine, investigated by performing experiments in h2o or d2o, suggested a radical based desulfurization mechanism unrelated to elimination. importantly, an understanding of the mechanism and conditions favorable for cysteine desulfurization provides insight for the establishment of improved sample preparation procedures of protein analysis.",0.34523809523809523,0.04191616766467066,0.21127567044214998
"3) acquired, which is a result of ingestion or inoculation of TSE contaminated materials. Both kuru, a TSE once endemic in the Fore tribe of New Guinea and variant CJD, which has been linked to BSE and can be transmitted via blood, are examples of acquired forms of TSE. It is processed through the secretory pathway where it is glycosylated at two N linked glycosylation sites and eventually attached to the cell surface via the GPI anchor.The  helix model, proposed by Fred Cohen and coworkers , is based upon a threading analysis methodology developed earlier . The disulfide linkage and glycosylation would be retained outside of the stackable  helix core and the C terminal residues including  helices 2 and 3 would not be affected . The spiral protofibril model, proposed by DeMarco and Daggett, is fundamentally different from the  helical model.In particular, a key loop region composed of residues ~165171 displays structural variations between species and is thought to influence species specific intermolecular contacts, perhaps acting as a nucleation site in the conversion process. However, there are no corresponding structures of PrP res due to problems with insolubility and heterogeneity of purified samples. It is thus critical to more thoroughly investigate PrP res structure in order to understand what conformations may be associated with TSE infectivity .",PMC2674794.json,transmissible spongiform encephalopathies (tses or prion diseases) are a rare group of invariably fatal neurodegenerative disorders that affect humans and other mammals. tses are protein misfolding diseases that involve the accumulation of an abnormally aggregated form of the normal host prion protein. they are unique among protein misfolding disorders in that they are transmissible and have different strains of infectious agent that are associated with unique phenotypes in vivo. a wealth of biological and biophysical evidence now suggests that the molecular basis for prion diseases may be encoded by protein conformation. the purpose of this review is to provide an overview of the existing structural information for prion protein within the context of what is known about the biology of prion disease.,0.2492581602373887,0.02388059701492537,0.19816063023370623
"Failure of platelet antagonists to have their anticipated effect in some patients has been attributed to single nucleotide polymorphisms (SNPs) in genes encoding proteins responsible for metabolism of P2Y12 antagonists [, ], for cyclooxygenase enzymatic activity, in aspirin transporters, and in aspirin absorption []. These studies all suggest a personalized approach to antiplatelet therapy should be considered when a patients treatment trajectory deviates from the expected path. A recent study indicates patient mortality for NSTEMI has failed to improve since 2010 in spite of delivery of care consistent with established guidelines, including appropriate utilization of percutaneous revascularization procedures [, ] .(B) Plasma TIMP1, p=NS between all groups. The mean plasma concentration of each marker is shown below each graph. ELISA= Enzyme Linked Immunosorbant Assay .The population size, while heterogeneous, was relatively small, and will need to be validated in a larger cohort. After 15 minutes, 1 L of labeled CD62P (p selectin) antibody was incubated in the dark for 30 minutes. Data was then processed through FloJo (Ashland, Oregon).",PMC5898983.json,"it is assumed that platelets in diseased conditions share similar properties to platelets in healthy conditions, though this has never been examined in detail for myocardial infarction (m.i.). we examined platelets from patients with st segment elevation myocardial infarction (stemi) and non st segment elevation myocardial infarction (nstemi) compared to platelets from healthy volunteers in order to evaluate for differences in platelet phenotype and function. platelet activation was examined and post receptor signal transduction pathways were assessed. platelet derived plasma biomarkers were evaluated by receiver operator characteristic (roc) analyses. maximum platelet activation through the thromboxane receptor was greater in stemi compared to nstemi but less through par1. extracellular signal related kinase (erk5) activation which can activate platelets was increased in platelets from subjects with stemi and especially in platelets from patients with nstemi. matrix metalloproteinase (mmp9) protein content and enzymatic activity were several fold greater in platelets with m.i. compared to control. mean plasma mmp9 concentration in patients with m.i. distinguished between stemi and nstemi (auc 75% [c.i. 6091], p=0.006) which was superior to troponin t (auc 66% [c.i. 4885, p=0.08), predicting stemi with sensitivity 80% (95% c.i. 5694), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p<0.0001), and nstemi with sensitivity 50% (c.i. 2770), specificity 90% (c.i. 6899), auc 70% (c.i. 5486, p=0.03). platelets from patients with stemi and nstemi show differences in platelet surface receptor activation and post receptor signal transduction, suggesting the healthy platelet phenotype in which anti platelet agents are often evaluated in preclinical studies is different from platelets in patients with m.i.",0.21266968325791855,0.00909090909090909,0.16340211434054028
